,Binomial,Range_m,Genus,Family,Order,AdultBodyMassG,GenerationLengthD,RedListStatus,TrophicLevel,Range
1177,Emballonura dianae,90456792596.8696,Emballonura,Emballonuridae,Chiroptera,5.226666667,894.25,LC,Insectivore,90456.7925968696
1178,Emballonura furax,67863564488.754005,Emballonura,Emballonuridae,Chiroptera,5.226666667,894.25,LC,Insectivore,67863.56448875401
1179,Emballonura monticola,1690479339305.51,Emballonura,Emballonuridae,Chiroptera,5.35,894.25,LC,Insectivore,1690479.33930551
1180,Emballonura raffrayana,216455310751.32602,Emballonura,Emballonuridae,Chiroptera,5.61,894.25,LC,Insectivore,216455.310751326
1181,Emballonura semicaudata,2134911690.57789,Emballonura,Emballonuridae,Chiroptera,6.29,894.25,EN,Insectivore,2134.9116905778897
1182,Emballonura serii,9326435080.24316,Emballonura,Emballonuridae,Chiroptera,5.226666667,894.25,LC,Insectivore,9326.43508024316
1183,Enchisthenes hartii,3104105991155.54,Enchisthenes,Phyllostomidae,Chiroptera,16.99,2064.27635,LC,Herbivore,3104105.99115554
1184,Eoglaucomys fimbriatus,188936375655.007,Eoglaucomys,Sciuridae,Rodentia,510.0,1384.121263,LC,Herbivore,188936.375655007
1185,Eolagurus luteus,398226360868.715,Eolagurus,Cricetidae,Rodentia,26.0,589.3882991,LC,Herbivore,398226.360868715
1186,Eolagurus przewalskii,903281552420.641,Eolagurus,Cricetidae,Rodentia,46.25861204,589.3882991,LC,Herbivore,903281.552420641
1187,Eonycteris major,732628361394.136,Eonycteris,Pteropodidae,Chiroptera,70.7,1584.66165,DD,Herbivore,732628.361394136
1188,Eonycteris robusta,114506364486.385,Eonycteris,Pteropodidae,Chiroptera,78.36,2190.0,NT,Herbivore,114506.364486385
1189,Eonycteris spelaea,3525628504680.71,Eonycteris,Pteropodidae,Chiroptera,58.7,979.3233,LC,Herbivore,3525628.50468071
1190,Eospalax fontanierii,1200746710962.65,Eospalax,Spalacidae,Rodentia,256.76,1032.923574,LC,Herbivore,1200746.71096265
1191,Eospalax rothschildi,231871240153.892,Eospalax,Spalacidae,Rodentia,104.345,1032.923574,LC,Herbivore,231871.240153892
1192,Eospalax smithii,134689498348.134,Eospalax,Spalacidae,Rodentia,94.15,717.7762436,LC,Herbivore,134689.49834813402
1193,Eothenomys cachinus,26620915344.0143,Eothenomys,Cricetidae,Rodentia,46.25861204,589.3882991,LC,Omnivore,26620.9153440143
1194,Eothenomys chinensis,8999064959.64673,Eothenomys,Cricetidae,Rodentia,45.3,589.3882991,LC,Omnivore,8999.06495964673
1195,Eothenomys custos,115771459856.414,Eothenomys,Cricetidae,Rodentia,30.8,589.3882991,LC,Omnivore,115771.459856414
1196,Eothenomys melanogaster,1722986444193.35,Eothenomys,Cricetidae,Rodentia,19.59,589.3882991,LC,Omnivore,1722986.44419335
1197,Eothenomys miletus,402718020611.193,Eothenomys,Cricetidae,Rodentia,46.25861204,589.3882991,LC,Omnivore,402718.020611193
1198,Eothenomys olitor,177906740797.603,Eothenomys,Cricetidae,Rodentia,22.0,589.3882991,LC,Omnivore,177906.740797603
1199,Eothenomys proditor,38470005994.4083,Eothenomys,Cricetidae,Rodentia,42.5,589.3882991,LC,Omnivore,38470.005994408304
1200,Eothenomys wardi,8331727431.17142,Eothenomys,Cricetidae,Rodentia,46.25861204,589.3882991,NT,Omnivore,8331.72743117142
1201,Eozapus setchuanus,545021106576.93,Eozapus,Dipodidae,Rodentia,32.576,726.1971375,LC,Herbivore,545021.10657693
1202,Episoriculus caudatus,315602345456.484,Episoriculus,Soricidae,Eulipotyphla,6.27,426.9101194,LC,Carnivore,315602.345456484
1203,Episoriculus fumidus,12808650218.8059,Episoriculus,Soricidae,Eulipotyphla,6.95,426.9101194,LC,Carnivore,12808.6502188059
1204,Episoriculus leucops,236569001284.409,Episoriculus,Soricidae,Eulipotyphla,9.35,426.9101194,LC,Carnivore,236569.001284409
1205,Episoriculus macrurus,375510082941.475,Episoriculus,Soricidae,Eulipotyphla,8.157340556,426.9101194,LC,Carnivore,375510.082941475
1206,Epixerus ebii,540525789541.568,Epixerus,Sciuridae,Rodentia,520.96,1384.121263,LC,Omnivore,540525.789541568
1207,Epomophorus angolensis,383572654208.83795,Epomophorus,Pteropodidae,Chiroptera,88.458,1553.7908730000001,NT,Herbivore,383572.65420883795
1208,Epomophorus anselli,3093943351.6427603,Epomophorus,Pteropodidae,Chiroptera,88.458,1553.7908730000001,DD,Herbivore,3093.94335164276
