,Binomial,AdultBodyMassG,RedListStatus,TrophicLevel,total_pop,label,Range_km_2,pop_density
55,Capra sibirica,130000,LC,Herbivore,244427.577022316,Entire range,1562826.27483643,0.156400990281469
56,Capra walie,100144,EN,Herbivore,500,Entire range,844.931843702531,0.591763707009759
57,Capreolus capreolus,22502.01,LC,Herbivore,22500000,Entire range,6439719.74377446,3.49394086936029
58,Capreolus pygargus,41371.03,LC,Herbivore,1000000,Entire range,11997231.4267499,0.083352563973245
59,Capricornis crispus,43030.64,LC,Herbivore,150000,Entire range,139673.431480435,1.07393366376204
60,Caprolagus hispidus,2496.99,EN,Herbivore,219,Entire range,114654.527386382,0.001910085933737
61,Cavia intermedia,566.7175,CR,Herbivore,56.9209978830309,Entire range,0.293731834444035,193.785593552598
62,Cephalophus adersi,9249.95,VU,Herbivore,20000,Entire range,5017.97198501071,3.98567390566197
63,Cephalophus callipygus,19079.23,LC,Omnivore,382000,Entire range,745834.144065724,0.512178214204065
64,Cephalophus dorsalis,20000,NT,Omnivore,725000,Entire range,3569381.79833625,0.20311640529403
65,Cephalophus jentinki,68489.54,EN,Omnivore,3000,Entire range,59692.8913804672,0.050257240529342
66,Cephalophus leucogaster,13208.69,NT,Omnivore,287000,Entire range,1003256.84942509,0.286068318561158
67,Cephalophus natalensis,12724.51,LC,Omnivore,42000,Entire range,897299.258601845,0.046807126605057
68,Cephalophus niger,19094.32,LC,Omnivore,100000,Entire range,761605.44001033,0.131301583138171
69,Cephalophus nigrifrons,14676.33,LC,Omnivore,300000,Entire range,3191959.12127019,0.093986166051093
70,Cephalophus ogilbyi,18386.42,LC,Omnivore,35000,Entire range,437959.736998554,0.079916022052309
71,Cephalophus rufilatus,12114.57,LC,Omnivore,170000,Entire range,2928856.41881389,0.058043132093463
72,Cephalophus silvicultor,62006.6,NT,Omnivore,160000,Entire range,6159546.17779912,0.025975939684759
73,Cephalophus spadix,56857.02,EN,Herbivore,2250,Entire range,6572.37755349745,0.342341866651084
74,Cephalophus weynsi,17000,LC,Omnivore,188000,Entire range,1484336.55048705,0.126655912325485
75,Cephalophus zebra,15654.75,VU,Omnivore,15000,Entire range,58893.0377688785,0.254699036902569
76,Ceratotherium simum,2285939,NT,Herbivore,20170,Entire range,3815777.74417341,0.005285947283172
77,Cercopithecus dryas,2784.06,CR,Herbivore,200,Entire range,3513.01192718129,0.056931204375521
78,Cervus albirostris,109666.7,VU,,7000,Entire range,747278.452715773,0.009367324823244
79,Cervus canadensis,240867.1,LC,,1000000,Entire range,6039015.74312666,0.165589897846873
80,Cervus elaphus,240867.1,LC,Herbivore,2435500,Entire range,4274946.11074194,0.569714783978249
81,Cervus hanglu,240867.1,LC,,2700,Entire range,47606.2606148111,0.056715229575498
82,Chalinolobus neocaledonicus,10.17,EN,Insectivore,1500,Entire range,16389.2183498949,0.091523583857166
83,Chinchilla lanigera,480.28,EN,Herbivore,8025,Entire range,24493.8108222629,0.327633787091468
84,Choeropsis liberiensis,227500,EN,Herbivore,3353.43107876097,Entire range,139543.138658582,0.024031501018232
85,Chrysocyon brachyurus,23325,NT,Omnivore,25500,Entire range,4335912.93590999,0.005881114398956
86,Coleura seychellensis,10.64,CR,Insectivore,106.066017177982,Entire range,227.69457732108,0.465825837513973
87,Conilurus penicillatus,175.02,VU,Omnivore,75000,Entire range,16143.2949490811,4.64589169909636
88,Connochaetes gnou,156547.5,LC,Herbivore,12094.5,Entire range,403590.440910662,0.029967260802089
89,Connochaetes taurinus,198619.7,LC,Herbivore,1550000,Entire range,3087721.45469337,0.501988285777521
90,Crocuta crocuta,63369.98,LC,Carnivore,35623.0262611138,Entire range,14473653.9873273,0.002461232408368
91,Cryptoprocta ferox,9500,VU,Carnivore,7151.32138139519,Entire range,442933.279836598,0.016145369307164
92,Cuon alpinus,15800,EN,Carnivore,6873.86354243375,Entire range,3443447.11222668,0.001996215803062
93,Cynogale bennettii,4246.57,EN,Omnivore,3735,Entire range,1090113.11682097,0.00342624993899
94,Cynomys ludovicianus,797.05,LC,Herbivore,11052000,Entire range,1820846.70367039,6.06970371405885
95,Cynomys parvidens,899.98,EN,Omnivore,12000,Entire range,31818.2401597058,0.377142165618469
96,Damaliscus lunatus,136000.3,LC,Herbivore,300000,Entire range,1840644.25935118,0.162986410044138
97,Damaliscus pygargus,77784.55,LC,Herbivore,240987.032846168,Entire range,395531.218950642,0.609274366472298
98,Dasycercus cristicauda,99.54,NT,Carnivore,27000,Entire range,114861.740632412,0.235065217115307
99,Dasyuroides byrnei,109.47,VU,Carnivore,7500,Entire range,71536.7672504487,0.104841192693859
100,Dasyurus geoffroii,1106.62,NT,Insectivore,20124.6117974981,Entire range,188703.646967922,0.106646650029605
101,Dasyurus maculatus,3284.15,NT,Omnivore,21000,Entire range,464971.475097164,0.045164060861178
102,Dasyurus viverrinus,1101.49,EN,Omnivore,16431.6767251549,Entire range,63883.6901239336,0.257212391664878
103,Dendrolagus lumholtzi,6649.97,NT,Herbivore,25980.7621135332,Entire range,7382.86410803084,3.51906275577687
104,Dendrolagus matschiei,8293.4,EN,Herbivore,3750,Entire range,13584.4408502062,0.276051111808778
105,Dicerorhinus sumatrensis,1046156,CR,Herbivore,234.520787991172,Entire range,8510.95456042734,0.027555168615469
106,Diceros bicornis,995940.5,CR,Herbivore,4880,Entire range,7200967.19101973,0.000677686742704
107,Diplogale hosei,1450,VU,Insectivore,14000,Entire range,100926.112015202,0.138715340564108
108,Dipodomys gravipes,83.96,CR,Omnivore,10.5,Entire range,5681.17289841109,0.001848209900976
109,Dorcatragus megalotis,10918.12,VU,Herbivore,10500,Entire range,50718.1516061782,0.207026472130363
110,Elaphodus cephalophus,23087.87,NT,Herbivore,387298.334620741,Entire range,1933406.65082131,0.200319128133865
111,Elephas maximus,3269794,EN,Herbivore,46557.56,Entire range,620722.454413172,0.075005438693233
112,Enhydra lutris,27410.93,EN,Insectivore,125831,Entire range,2026534.38602141,0.062091717203495
113,Equus africanus,250000,CR,Herbivore,204.939015319192,Entire range,67427.8956320922,0.003039380265364
114,Equus grevyi,408000.3,EN,Herbivore,2680,Entire range,90830.6269609655,0.029505466269122
115,Equus hemionus,235248.1,NT,Herbivore,55000,Entire range,382653.883855602,0.14373302433474
116,Equus kiang,281138.6,LC,Herbivore,97211.1104761179,Entire range,1785579.0708173,0.05444234425957
117,Equus quagga,400000,NT,Herbivore,500000,Entire range,2314215.44047648,0.216055943303643
118,Eudorcas albonotata,25000,LC,Herbivore,278000,Entire range,128522.708329106,2.16304187496679
119,Eudorcas rufifrons,26999.77,VU,Herbivore,12000,Entire range,2197817.56336909,0.005459961827589
120,Eudorcas thomsonii,22907.43,NT,Herbivore,550000,Entire range,157281.529513313,3.49691411128759
121,Eudorcas tilonura,22907.43,EN,,2958.03989154981,Entire range,93843.0229654295,0.031521148808681
122,Eulemur cinereiceps,2250,CR,Herbivore,7265,Entire range,1817.02108454939,3.99830253032076
123,Eumops floridanus,38.47,VU,Insectivore,5809.47501931113,Entire range,999.179023657132,5.81424837968241
124,Eupetaurus cinereus,2500,EN,Herbivore,1732.05080756888,Entire range,32785.4076973057,0.052829930423931
125,Felis margarita,2823.36,LC,Carnivore,40896,Entire range,1894939.89397675,0.021581687171183
126,Felis nigripes,1362.77,VU,Carnivore,13867,Entire range,1948156.63644354,0.00711801081114
127,Galidictis grandidieri,1400,EN,Carnivore,236.631174558168,Entire range,995.699966424625,0.23765309082802
128,Gazella arabica,24124.67,VU,Herbivore,8874.11967464943,Entire range,217971.520258154,0.040712289679585
129,Gazella bennettii,18916.67,LC,Herbivore,88741.1967464942,Entire range,2764388.17690047,0.032101568617615
130,Gazella gazella,21306.83,EN,Herbivore,3000,Entire range,14514.0153589123,0.206696763494732
131,Gazella leptoceros,24645.75,EN,Herbivore,636.396103067892,Entire range,604390.238846793,0.001052955627282
132,Gazella marica,26981.37,VU,,2909.57471119062,Entire range,2614085.88214664,0.001113037154235
133,Gazella subgutturosa,26981.37,VU,Herbivore,68047.7773332825,Entire range,7107914.02773168,0.009573522846195
134,Genetta bourloni,1865.378167,VU,Carnivore,14775,Entire range,146863.080572716,0.100603909044959
135,Genetta cristata,1863.23,VU,Carnivore,10500,Entire range,100906.361483531,0.104056868621843
