,Binomial,AdultBodyMassG,RedListStatus,TrophicLevel,total_pop,label,Range_km_2,pop_density
292,Presbytis potenziani,6449.53,EN,Herbivore,36000,Entire range,6004.47979165949,5.99552355060062
293,Prionailurus planiceps,3533.76,EN,Carnivore,3748.5,Entire range,148872.260240697,0.025179304686712
294,Procapra gutturosa,28274.27,LC,Herbivore,1000000,Entire range,715728.410392712,1.39717801540295
295,Procapra picticaudata,23197.67,NT,Herbivore,150000,Entire range,2394411.50655765,0.062645873355182
296,Procapra przewalskii,27499.99,EN,Herbivore,1469.08134560343,Entire range,1076.30012899731,1.36493651354668
297,Procyon pygmaeus,2958.03,CR,Omnivore,464.75800154489,Entire range,488.35425662591,0.951682093969962
298,Propithecus coquereli,4189.27,EN,Herbivore,200000,Entire range,30813.5659562871,6.49064766745027
299,Propithecus perrieri,6500,CR,Herbivore,500,Entire range,62.3003537390297,8.02563661346856
300,Propithecus tattersalli,3531.39,CR,Herbivore,7745.96669241483,Entire range,1721.73855135833,4.49892156175733
301,Pseudantechinus bilarni,23.05,LC,Insectivore,17320.5080756888,Entire range,134277.930342165,0.128989983920313
302,Pseudantechinus mimulus,17,NT,Insectivore,106.066017177982,Entire range,3092.03213843384,0.034303012526806
303,Pseudochirulus cinereus,977.48,NT,Herbivore,54942.6225222707,Entire range,895.811215068955,61.3328138764611
304,Pseudois nayaur,52334.57,LC,Herbivore,209237.902876128,Entire range,2858577.24628577,0.07319651870454
305,Pseudomys australis,52.97,VU,Omnivore,15000,Entire range,199797.011903233,0.075076197872594
306,Pseudomys calabyi,13,VU,Omnivore,22500,Entire range,20212.9232627385,1.11314923168375
307,Pseudomys fieldi,42.35,VU,Omnivore,15000,Entire range,92.9954902458806,161.298144246994
308,Pseudomys fumeus,68.75,VU,Herbivore,106.066017177982,Entire range,16696.4476157492,0.006352609825693
309,Pseudomys novaehollandiae,16.8,VU,Omnivore,12000,Entire range,89952.4485021288,0.133403817237015
310,Pseudomys oralis,95,VU,Omnivore,7500,Entire range,26516.5326847162,0.282842409645923
311,Pseudomys shortridgei,72.06,NT,Omnivore,16500,Entire range,31490.8172882816,0.523962266490302
312,Pseudoryx nghetinhensis,97842.2,CR,Herbivore,195,Entire range,13994.9332452486,0.013933614157553
313,Pteralopex taki,452.2333333,VU,Herbivore,821.583836257749,Entire range,3316.80129953886,0.247703664482999
314,Pteropus aldabrensis,310.29,VU,Herbivore,400,Entire range,158.45560968756,2.5243662927978
315,Pteropus dasymallus,491.86,VU,Herbivore,6363.96103067892,Entire range,2890.67009813938,2.20155217116446
316,Pteropus livingstonii,734.27,CR,Herbivore,1300,Entire range,265.681962093921,4.89306835042282
317,Pteropus mariannus,458.58,EN,Herbivore,10048.8805346665,Entire range,1025.73523389262,9.79675865918292
318,Pteropus niger,474.43,VU,Herbivore,62500,Entire range,4413.63871596644,14.160651567131
319,Pteropus pselaphon,452.5545,EN,Herbivore,346.410161513775,Entire range,71.81015567158,4.82397173873378
320,Pteropus rodricensis,256.17,EN,Herbivore,30000,Entire range,110.931372606797,270.437472240941
321,Pteropus rufus,452.5545,VU,Herbivore,450000,Entire range,185399.338295115,2.42719312883252
322,Pteropus seychellensis,492.2,LC,Herbivore,10000,Entire range,2730.90877337381,3.66178471338896
323,Pygathrix cinerea,10050,CR,Herbivore,620.483682299543,Entire range,24681.2726032878,0.025139857748538
324,Rangifer tarandus,109088.5,VU,Herbivore,2890410,Entire range,18787469.8065002,0.153847752239632
325,Raphicerus melanotis,10503.14,LC,Herbivore,231448,Entire range,160983.17070382,1.43771550149067
326,Raphicerus sharpei,9396.9,LC,Herbivore,95000,Entire range,2462554.74948095,0.038577822491063
327,Redunca arundinum,58059.24,LC,Herbivore,73000,Entire range,4763570.27823632,0.015324640077952
328,Reithrodontomys spectabilis,20.19,CR,Herbivore,152,Entire range,488.27566352693,0.311299561608433
329,Rhinoceros sondaicus,1750000,CR,Herbivore,82.6498638837354,Entire range,246.042109036132,0.335917555769277
330,Rhinoceros unicornis,1843656,VU,Herbivore,2575,Entire range,551653.739601137,0.004667783094993
331,Rhinopithecus brelichi,12267.15,EN,Herbivore,750,Entire range,502.966062709146,1.49115428575886
332,Rhinopithecus strykeri,11452.67,CR,,439.374555476304,Entire range,203.43469920168,2.15978177371167
333,Rhinopoma hadramauticum,9.13,EN,,225,Entire range,231.432382284602,0.972206213231249
334,Rhynchocyon chrysopygus,535.2,EN,Insectivore,14142.135623731,Entire range,3574.3294321425,3.95658427467722
335,Rhynchocyon udzungwensis,711,VU,Carnivore,18973.6659610103,Entire range,320.402038317866,59.2183060401969
336,Romerolagus diazi,465.58,EN,Herbivore,5480.27006633797,Entire range,444.364105960683,12.3328369524582
337,Rucervus duvaucelii,171223.9,VU,Herbivore,4224.92603485553,Entire range,34624.9385720144,0.122019740946785
338,Rucervus eldii,95471.61,EN,Herbivore,7000,Entire range,83842.5495126728,0.083489827548027
339,Rungwecebus kipunji,13,CR,Herbivore,1117,Entire range,71.0605559569489,15.7189876290402
340,Rupicapra pyrenaica,29999.99,LC,Herbivore,75000,Entire range,15121.6817315396,4.9597658072363
341,Rupicapra rupicapra,33266.35,LC,Herbivore,682500,Entire range,280363.903348413,2.43433620323029
342,Rusa alfredi,46475.04,EN,Herbivore,1050,Entire range,1689.09465439686,0.621634789540516
343,Rusa timorensis,66375.5,VU,Herbivore,14998.5,Entire range,11319.6166290241,1.32500070378206
344,Saguinus oedipus,462.04,CR,Omnivore,6000,Entire range,52110.8807687998,0.115139101690109
345,Saiga tatarica,37734.01,CR,Herbivore,50000,Entire range,749585.811926923,0.066703503727569
346,Saimiri oerstedii,714.18,VU,Omnivore,1529.70585407784,Entire range,7301.82954099207,0.209496242755347
347,Santamartamys rufodorsalis,148,CR,Herbivore,10.6066017177982,Entire range,89.5228536684308,0.118479262927456
348,Sapajus flavius,2920,CR,,1000,Entire range,38947.9904194171,0.025675265635823
349,Sarcophilus harrisii,8202.25,EN,Carnivore,23717.0824512628,Entire range,64284.1265461815,0.36894150586653
350,Semnopithecus ajax,17200,EN,Herbivore,500,Entire range,1520.512019164,0.328836598263069
351,Setonix brachyurus,3027.67,VU,Herbivore,17404.3636769634,Entire range,18067.5918748858,0.963291831998692
352,Simias concolor,7393.9,CR,Herbivore,10766.1506584294,Entire range,6004.47979165949,1.79301971727577
353,Sminthopsis leucopus,23.36,LC,Carnivore,13416.4078649988,Entire range,96974.6088735455,0.138349698141023
354,Sminthopsis psammophila,33.5,VU,Carnivore,10606.6017177982,Entire range,7620.06700322732,1.39193024330442
355,Spalax giganteus,211.245,LC,Herbivore,1000,Entire range,25403.3267429157,0.0393649229536
356,Speothos venaticus,6324.54,NT,Carnivore,110000,Entire range,11389062.0114458,0.009658389768135
357,Sylvicapra grimmia,15639.15,LC,Herbivore,4074309.75749268,Entire range,13575937.2394078,0.300112595222221
358,Syncerus caffer,592666,LC,Herbivore,570996.497362286,Entire range,8442939.59262028,0.067630058358036
359,Tapirus bairdii,293781.6,EN,Herbivore,4500,Entire range,285330.977676245,0.015771158241031
360,Tapirus indicus,311209.2,EN,Herbivore,3750,Entire range,89491.8255997701,0.041903268537296
361,Tapirus pinchaque,156923.4,EN,Herbivore,3750,Entire range,49536.9430581486,0.075701078195279
362,Tarsius sangirensis,165,EN,Insectivore,8908.68508815975,Entire range,556.365050301818,16.0123017851803
363,Tarsius tumpara,122.6825,CR,,4115.126,Entire range,115.181531909021,35.727307423298
364,Tetracerus quadricornis,19282.12,VU,Herbivore,12549.9003980111,Entire range,2063040.02999479,0.006083207410204
365,Theropithecus gelada,15964.11,LC,Herbivore,200000,Entire range,103850.585402301,1.92584374199943
366,Trachypithecus delacouri,9000,CR,Herbivore,223.606797749979,Entire range,6008.57383059358,0.037214620982345
367,Trachypithecus francoisi,8139.93,EN,Herbivore,2021.13829314077,Entire range,248813.999847407,0.00812308911227
368,Trachypithecus geei,8356,EN,Herbivore,5500,Entire range,5686.0188923078,0.967284862074684
369,Trachypithecus poliocephalus,9000,CR,Herbivore,1218.69438334638,Entire range,944.719668479951,1.29000636274171
370,Tragelaphus angasii,87616.76,LC,Herbivore,36500,Entire range,197904.400776763,0.184432482838885
371,Tragelaphus buxtoni,215000.8,EN,Herbivore,4000,Entire range,6875.04541496314,0.581814338461566
372,Tragelaphus derbianus,663012.125,VU,Herbivore,12961.4813968157,Entire range,392970.558177662,0.032983339660158
373,Tragelaphus eurycerus,270998.4,NT,Herbivore,28000,Entire range,2217256.79534382,0.012628217019697
374,Tragelaphus imberbis,94320.39,NT,Herbivore,118000,Entire range,1488947.84500926,0.079250593226297
375,Tragelaphus oryx,492500,LC,Herbivore,136000,Entire range,6776775.21345863,0.020068542295738
376,Tragelaphus scriptus,43250.39,LC,Herbivore,1340000,Entire range,12063886.7620266,0.111075313158434
377,Tragelaphus spekii,75554.25,LC,Herbivore,155884.572681199,Entire range,4392169.37314337,0.035491475723678
378,Tragelaphus strepsiceros,206056.4,LC,Herbivore,482000,Entire range,6084573.15858893,0.07921673179648
379,Tremarctos ornatus,123177,VU,Herbivore,15297.0585407784,Entire range,218255.004249888,0.070088008260577
380,Urocyon littoralis,1923,NT,Omnivore,5500,Entire range,911.162244843754,6.03624659727109
381,Uromys hadrourus,149.11,NT,Omnivore,30000,Entire range,635.186180385447,47.2302466999444
