,Binomial,Range_km_2,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel
61,Aethomys nyikae,897954.686747013,77.015,RODENTIA,MURIDAE,Aethomys,LC,Herbivore
62,Aethomys silindensis,19128.8477485798,83.48586401,RODENTIA,MURIDAE,Aethomys,DD,Herbivore
63,Aethomys stannarius,170066.635216305,83.48586401,RODENTIA,MURIDAE,Aethomys,DD,Herbivore
64,Aethomys thomasi,270707.109824011,63.85388804,RODENTIA,MURIDAE,Aethomys,LC,Herbivore
66,Ailurops melanotis,274.513756022964,8500,DIPROTODONTIA,PHALANGERIDAE,Ailurops,CR,Herbivore
67,Ailurops ursinus,179858.761836097,10000,DIPROTODONTIA,PHALANGERIDAE,Ailurops,VU,Herbivore
68,Ailurus fulgens,338845.694393893,5170.08,CARNIVORA,AILURIDAE,Ailurus,EN,Herbivore
69,Akodon aerosus,114173.549533606,59.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
70,Akodon affinis,42194.8380606911,24.89,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
71,Akodon albiventer,402031.197615072,25.95,RODENTIA,CRICETIDAE,Akodon,LC,Insectivore
72,Akodon azarae,1227619.51542059,25.27,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
73,Akodon boliviensis,217523.128508312,27.5,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
74,Akodon budini,19875.9004970378,26.9,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
75,Akodon cursor,824312.280239935,39.84,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
76,Akodon dayi,289349.540297344,32.49,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
77,Akodon dolores,809710.801709637,50.49,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
78,Akodon fumeus,151083.679909436,22.69,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
79,Akodon iniscatus,573428.466492597,28.7,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
80,Akodon juninensis,115443.542543507,38.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
81,Akodon kofordi,13610.4472032148,29.49,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
82,Akodon lindberghi,165514.298861976,26.4,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore
83,Akodon lutescens,118596.707256244,20.69,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
84,Akodon mimus,57422.7809243966,23.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
85,Akodon molinae,429206.147956305,32.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
86,Akodon mollis,265417.517080348,30.39,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
87,Akodon montensis,1050553.52930719,34.65,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
88,Akodon mystax,17695.1474070638,32.51675676,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore
89,Akodon orophilus,33885.8956924827,38.99,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
90,Akodon paranaensis,482684.850751503,32.51675676,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
91,Akodon pervalens,60582.1240909937,32.51675676,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore
92,Akodon philipmyersi,6207.91402486504,23,RODENTIA,CRICETIDAE,Akodon,DD,Omnivore
93,Akodon reigi,65883.5331287055,32.51675676,RODENTIA,CRICETIDAE,Akodon,LC,Omnivore
