,Binomial,Range_km_2,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel
935,Cryptonanus guahybae,7569.48391507374,196.8175859,DIDELPHIMORPHIA,DIDELPHIDAE,Cryptonanus,DD,Omnivore
936,Cryptonanus unduaviensis,310843.990108012,196.8175859,DIDELPHIMORPHIA,DIDELPHIDAE,Cryptonanus,DD,Omnivore
938,Cryptotis alticola,110995.776964983,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,DD,Insectivore
939,Cryptotis brachyonyx,10525.4920168417,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,DD,Insectivore
940,Cryptotis colombiana,5940.02974123173,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
941,Cryptotis endersi,1049.02077530014,8,EULIPOTYPHLA,SORICIDAE,Cryptotis,EN,Insectivore
942,Cryptotis equatoris,33341.3495634251,7.7,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
943,Cryptotis goldmani,47998.2360540683,6.73,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
944,Cryptotis goodwini,39439.1633902532,7,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
945,Cryptotis gracilis,13696.2380880473,7,EULIPOTYPHLA,SORICIDAE,Cryptotis,VU,Insectivore
946,Cryptotis griseoventris,156.785113859695,9,EULIPOTYPHLA,SORICIDAE,Cryptotis,EN,Insectivore
947,Cryptotis hondurensis,96.6164418931975,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,DD,Insectivore
948,Cryptotis magna,14384.9269243583,7,EULIPOTYPHLA,SORICIDAE,Cryptotis,VU,Insectivore
949,Cryptotis mayensis,136568.784134308,5,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
950,Cryptotis medellinia,14039.0213590443,16,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
951,Cryptotis meridensis,13485.1847559593,12.63,EULIPOTYPHLA,SORICIDAE,Cryptotis,VU,Insectivore
952,Cryptotis merriami,95422.1209268731,5,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
953,Cryptotis mexicana,31917.5056436926,7,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
954,Cryptotis montivaga,29768.5568145657,11.29,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
955,Cryptotis nelsoni,26.7858482491209,8,EULIPOTYPHLA,SORICIDAE,Cryptotis,CR,Insectivore
956,Cryptotis nigrescens,21177.6240888392,8.32,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
957,Cryptotis obscura,14447.6814888079,6.9,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
958,Cryptotis orophila,119614.010596924,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,DD,Insectivore
959,Cryptotis parva,4121717.63145888,4.97,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
960,Cryptotis peregrina,684.629283573271,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,DD,Insectivore
961,Cryptotis peruviensis,13995.0335502092,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,DD,Insectivore
962,Cryptotis phillipsii,5969.60346748451,8.3,EULIPOTYPHLA,SORICIDAE,Cryptotis,VU,Insectivore
963,Cryptotis squamipes,38079.7867744934,11,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
964,Cryptotis tamensis,5984.26040562368,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
965,Cryptotis thomasi,23697.7003392291,11.77,EULIPOTYPHLA,SORICIDAE,Cryptotis,LC,Insectivore
966,Cryptotis tropicalis,102824.766418294,8.417492407,EULIPOTYPHLA,SORICIDAE,Cryptotis,DD,Insectivore
967,Ctenodactylus gundi,132759.45982081,288.41,RODENTIA,CTENODACTYLIDAE,Ctenodactylus,LC,Herbivore
968,Ctenodactylus vali,57361.453064869,173.6,RODENTIA,CTENODACTYLIDAE,Ctenodactylus,DD,Herbivore
969,Ctenomys argentinus,27067.2271184773,221.3,RODENTIA,CTENOMYIDAE,Ctenomys,NT,Herbivore
970,Ctenomys australis,38471.2543895366,403.32,RODENTIA,CTENOMYIDAE,Ctenomys,EN,Herbivore
971,Ctenomys azarae,7814.11905672921,400,RODENTIA,CTENOMYIDAE,Ctenomys,VU,Herbivore
972,Ctenomys bergi,5375.83434238663,5.428350776,RODENTIA,CTENOMYIDAE,Ctenomys,VU,Herbivore
973,Ctenomys boliviensis,133220.121944098,462.6,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
974,Ctenomys bonettoi,19378.9625484062,202.3,RODENTIA,CTENOMYIDAE,Ctenomys,EN,Herbivore
975,Ctenomys brasiliensis,3543.02085428209,400,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
976,Ctenomys colburni,173488.751473746,400,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
977,Ctenomys coludo,33788.6114478478,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
978,Ctenomys conoveri,98397.4547186303,859.99,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
979,Ctenomys coyhaiquensis,18160.5502512963,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
980,Ctenomys dorbignyi,85262.9106226068,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,NT,Herbivore
981,Ctenomys dorsalis,35978.3532835394,165.6,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
982,Ctenomys emilianus,26286.4741556673,285.29,RODENTIA,CTENOMYIDAE,Ctenomys,NT,Herbivore
983,Ctenomys famosus,39214.6800640713,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
984,Ctenomys flamarioni,35819.5702965322,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,EN,Herbivore
985,Ctenomys fochi,37823.5427947172,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
986,Ctenomys fodax,43180.7425993479,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
987,Ctenomys frater,217658.972240315,172.9,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
988,Ctenomys fulvus,97098.2405526304,279.88,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
989,Ctenomys goodfellowi,22596.3140001624,5.428350776,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
990,Ctenomys haigi,26893.8290119473,164,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
991,Ctenomys johannis,48453.8505002063,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
992,Ctenomys juris,42786.1007977703,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
993,Ctenomys knighti,42362.6722539795,316,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
994,Ctenomys lami,11408.1163000226,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,VU,Herbivore
995,Ctenomys latro,6530.89736922338,192,RODENTIA,CTENOMYIDAE,Ctenomys,VU,Herbivore
996,Ctenomys leucodon,11433.5689254594,243.6,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
997,Ctenomys lewisi,4752.3639774487,117.2,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
998,Ctenomys magellanicus,252528.282666491,271.44,RODENTIA,CTENOMYIDAE,Ctenomys,VU,Herbivore
999,Ctenomys maulinus,51469.2245608959,215,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
1000,Ctenomys mendocinus,137027.557539331,178.44,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
1001,Ctenomys minutus,54965.983360001,92,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
1002,Ctenomys occultus,38100.1230777603,150,RODENTIA,CTENOMYIDAE,Ctenomys,EN,Herbivore
1003,Ctenomys opimus,288109.697328023,327.05,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
1004,Ctenomys osvaldoreigi,44980.7465895453,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,CR,Herbivore
1005,Ctenomys pearsoni,23370.8217889735,212,RODENTIA,CTENOMYIDAE,Ctenomys,NT,Herbivore
1006,Ctenomys perrensi,45264.4710274145,400,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
1007,Ctenomys peruanus,5463.78051504935,488.36,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
1008,Ctenomys pilarensis,45773.2271077526,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,EN,Herbivore
1009,Ctenomys pontifex,82206.0686218425,400,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
1010,Ctenomys porteousi,33104.5696234312,192.4,RODENTIA,CTENOMYIDAE,Ctenomys,NT,Herbivore
1011,Ctenomys pundti,10500.5502463924,163.05,RODENTIA,CTENOMYIDAE,Ctenomys,VU,Herbivore
1012,Ctenomys rionegrensis,86821.2540783998,5.428350776,RODENTIA,CTENOMYIDAE,Ctenomys,EN,Herbivore
1013,Ctenomys roigi,84.6595623597034,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,CR,Herbivore
1014,Ctenomys saltarius,78377.5970423619,230,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
1015,Ctenomys scagliai,59105.2192782771,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
1016,Ctenomys sericeus,41580.5169109494,400,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
1017,Ctenomys sociabilis,22795.8774329102,400,RODENTIA,CTENOMYIDAE,Ctenomys,CR,Herbivore
1018,Ctenomys steinbachi,19201.3459989107,384.99,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
1019,Ctenomys talarum,51329.037938528,140.84,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
1020,Ctenomys torquatus,241182.377674758,209.49,RODENTIA,CTENOMYIDAE,Ctenomys,LC,Herbivore
1021,Ctenomys tuconax,52551.2748668455,248.99,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
1022,Ctenomys tucumanus,41465.6860069772,217,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
1023,Ctenomys tulduco,143.161336126099,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
1024,Ctenomys validus,56216.3249864846,232.6,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
1025,Ctenomys viperinus,67505.5291568393,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
1026,Ctenomys yolandae,56247.0251948378,264.7784159,RODENTIA,CTENOMYIDAE,Ctenomys,DD,Herbivore
1027,Cuniculus paca,13436581.6221223,8172.55,RODENTIA,CUNICULIDAE,Cuniculus,LC,Herbivore
1028,Cuniculus taczanowskii,406875.846065698,8999.95,RODENTIA,CUNICULIDAE,Cuniculus,NT,Omnivore
1030,Cuscomys ashaninka,44.2260220556253,164.2793,RODENTIA,ABROCOMIDAE,Cuscomys,DD,Herbivore
1031,Cyclopes didactylus,7890845.31828818,263.95,PILOSA,CYCLOPEDIDAE,Cyclopes,LC,Insectivore
1032,Cynictis penicillata,2252272.00853294,694.41,CARNIVORA,HERPESTIDAE,Cynictis,LC,Carnivore
1033,Cynocephalus volans,120524.271290081,1250,DERMOPTERA,CYNOCEPHALIDAE,Cynocephalus,LC,Herbivore
1035,Cynomops abrasus,9896448.60870993,35.39,CHIROPTERA,MOLOSSIDAE,Cynomops,DD,Insectivore
1036,Cynomops greenhalli,4471054.64988424,15.87,CHIROPTERA,MOLOSSIDAE,Cynomops,LC,Insectivore
1037,Cynomops mexicanus,236534.506517751,19.065,CHIROPTERA,MOLOSSIDAE,Cynomops,LC,Insectivore
1038,Cynomops paranus,6857887.34787032,12.16,CHIROPTERA,MOLOSSIDAE,Cynomops,DD,Insectivore
1039,Cynomops planirostris,11449114.4732634,12.84,CHIROPTERA,MOLOSSIDAE,Cynomops,LC,Insectivore
1040,Cynomys gunnisoni,309494.866781996,797.93,RODENTIA,SCIURIDAE,Cynomys,LC,Herbivore
1041,Cynomys leucurus,269518.721328307,963.76,RODENTIA,SCIURIDAE,Cynomys,LC,Herbivore
1043,Cynomys mexicanus,13333.2428821872,899.98,RODENTIA,SCIURIDAE,Cynomys,EN,Herbivore
1045,Cynopterus brachyotis,2687885.8506348,33.87,CHIROPTERA,PTEROPODIDAE,Cynopterus,LC,Herbivore
1046,Cynopterus horsfieldii,1485601.35868724,56.01,CHIROPTERA,PTEROPODIDAE,Cynopterus,LC,Herbivore
1047,Cynopterus luzoniensis,455804.738869601,43.874,CHIROPTERA,PTEROPODIDAE,Cynopterus,LC,Herbivore
1048,Cynopterus minutus,1461294.02806291,26.45,CHIROPTERA,PTEROPODIDAE,Cynopterus,LC,Herbivore
1049,Cynopterus nusatenggara,85669.0080694249,43.874,CHIROPTERA,PTEROPODIDAE,Cynopterus,LC,Herbivore
1050,Cynopterus sphinx,6455955.60444576,44.71,CHIROPTERA,PTEROPODIDAE,Cynopterus,LC,Herbivore
1051,Cynopterus titthaecheilus,598087.113158267,58.33,CHIROPTERA,PTEROPODIDAE,Cynopterus,LC,Herbivore
1052,Cyttarops alecto,687798.209490901,5.3,CHIROPTERA,EMBALLONURIDAE,Cyttarops,LC,Insectivore
1053,Dacnomys millardi,41719.4006857516,141.0605074,RODENTIA,MURIDAE,Dacnomys,DD,Omnivore
1054,Dactylomys boliviensis,337052.673827919,728.8,RODENTIA,ECHIMYIDAE,Dactylomys,LC,Herbivore
1055,Dactylomys dactylinus,3305337.13831147,649.98,RODENTIA,ECHIMYIDAE,Dactylomys,LC,Herbivore
1056,Dactylomys peruanus,163.766882562512,382,RODENTIA,ECHIMYIDAE,Dactylomys,DD,Herbivore
1057,Dactylonax palpator,213287.278958945,359,DIPROTODONTIA,PETAURIDAE,Dactylonax,LC,Insectivore
1058,Dactylopsila megalura,62967.8097492333,319.2747,DIPROTODONTIA,PETAURIDAE,Dactylopsila,LC,Omnivore
1059,Dactylopsila tatei,144.866471647107,252,DIPROTODONTIA,PETAURIDAE,Dactylopsila,EN,Omnivore
1060,Dactylopsila trivirgata,765393.741678135,413.41,DIPROTODONTIA,PETAURIDAE,Dactylopsila,LC,Insectivore
1061,Dama dama,4018662.2633363,57224.61,CETARTIODACTYLA,CERVIDAE,Dama,LC,Herbivore
1062,Dama mesopotamica,614.201353847315,57224.61,CETARTIODACTYLA,CERVIDAE,Dama,EN,Herbivore
1065,Dasycercus blythi,1470446.44180497,99.54,DASYUROMORPHIA,DASYURIDAE,Dasycercus,LC,Carnivore
1067,Dasykaluta rosamondae,386504.070441439,32.17,DASYUROMORPHIA,DASYURIDAE,Dasykaluta,LC,Carnivore
1068,Dasymys foxi,51936.2094174888,81.91666667,RODENTIA,MURIDAE,Dasymys,DD,Herbivore
1069,Dasymys incomtus,6435499.07720833,127.75,RODENTIA,MURIDAE,Dasymys,LC,Herbivore
1070,Dasymys montanus,1879.35372464342,59,RODENTIA,MURIDAE,Dasymys,EN,Herbivore
1071,Dasymys nudipes,137648.652845784,81.91666667,RODENTIA,MURIDAE,Dasymys,DD,Herbivore
1072,Dasymys rufulus,1666841.10486374,59,RODENTIA,MURIDAE,Dasymys,LC,Herbivore
1073,Dasyprocta azarae,1667412.94015241,2976.81,RODENTIA,DASYPROCTIDAE,Dasyprocta,DD,Herbivore
1074,Dasyprocta coibae,497.243146185346,8.082422901,RODENTIA,DASYPROCTIDAE,Dasyprocta,VU,Herbivore
1075,Dasyprocta fuliginosa,2612207.53850916,3500.02,RODENTIA,DASYPROCTIDAE,Dasyprocta,LC,Herbivore
1076,Dasyprocta guamara,7993.85043977413,2650.03,RODENTIA,DASYPROCTIDAE,Dasyprocta,NT,Herbivore
1077,Dasyprocta kalinowskii,67070.9786434134,2650.03,RODENTIA,DASYPROCTIDAE,Dasyprocta,DD,Herbivore
1078,Dasyprocta leporina,4557264.61481601,3009.99,RODENTIA,DASYPROCTIDAE,Dasyprocta,LC,Herbivore
1079,Dasyprocta mexicana,107851.990775506,4999.99,RODENTIA,DASYPROCTIDAE,Dasyprocta,CR,Herbivore
1080,Dasyprocta prymnolopha,1929725.46003178,2900,RODENTIA,DASYPROCTIDAE,Dasyprocta,LC,Herbivore
1081,Dasyprocta punctata,1306844.91887001,2309.12,RODENTIA,DASYPROCTIDAE,Dasyprocta,LC,Herbivore
1082,Dasyprocta ruatanica,156.605591609903,2300,RODENTIA,DASYPROCTIDAE,Dasyprocta,EN,Herbivore
1083,Dasypus hybridus,1423871.79582721,1500,CINGULATA,DASYPODIDAE,Dasypus,NT,Insectivore
1084,Dasypus kappleri,6028938.76573539,9702.83,CINGULATA,DASYPODIDAE,Dasypus,LC,Insectivore
1085,Dasypus novemcinctus,18204752.474528,3949.01,CINGULATA,DASYPODIDAE,Dasypus,LC,Insectivore
1086,Dasypus pilosus,53161.4120432243,4444.98,CINGULATA,DASYPODIDAE,Dasypus,DD,Insectivore
1087,Dasypus sabanicola,441446.029649889,1150.01,CINGULATA,DASYPODIDAE,Dasypus,NT,Insectivore
1088,Dasypus septemcinctus,5796764.69970721,1526.64,CINGULATA,DASYPODIDAE,Dasypus,LC,Insectivore
1089,Dasypus yepesi,22452.5082440932,3712.245,CINGULATA,DASYPODIDAE,Dasypus,DD,Insectivore
1091,Dasyurus albopunctatus,580300.834600366,603.48,DASYUROMORPHIA,DASYURIDAE,Dasyurus,NT,Carnivore
1093,Dasyurus hallucatus,331642.189177997,470.92,DASYUROMORPHIA,DASYURIDAE,Dasyurus,EN,Insectivore
1095,Dasyurus spartacus,26551.6229306811,885.67,DASYUROMORPHIA,DASYURIDAE,Dasyurus,NT,Omnivore
1097,Daubentonia madagascariensis,125074.435512776,2731.37,PRIMATES,DAUBENTONIIDAE,Daubentonia,EN,Omnivore
1098,Delanymys brooksi,3946.33460116021,4.99,RODENTIA,NESOMYIDAE,Delanymys,VU,Omnivore
1099,Delomys collinus,88365.3871805,67,RODENTIA,CRICETIDAE,Delomys,LC,Omnivore
1100,Delomys dorsalis,292213.867015673,67.5,RODENTIA,CRICETIDAE,Delomys,LC,Omnivore
1101,Delomys sublineatus,150911.451651239,89.99,RODENTIA,CRICETIDAE,Delomys,LC,Omnivore
1102,Deltamys kempi,141587.685464712,26.4,RODENTIA,CRICETIDAE,Deltamys,LC,Omnivore
1103,Dendrogale melanura,33542.5557080984,59.99,SCANDENTIA,TUPAIIDAE,Dendrogale,DD,Insectivore
1104,Dendrogale murina,204368.863606934,49.99,SCANDENTIA,TUPAIIDAE,Dendrogale,LC,Insectivore
1105,Dendrohyrax arboreus,2446076.48700939,2981.11,HYRACOIDEA,PROCAVIIDAE,Dendrohyrax,LC,Herbivore
1106,Dendrohyrax dorsalis,3057672.58842524,3174.99,HYRACOIDEA,PROCAVIIDAE,Dendrohyrax,LC,Herbivore
1107,Dendrohyrax validus,37809.9915045213,2430,HYRACOIDEA,PROCAVIIDAE,Dendrohyrax,NT,Herbivore
1108,Dendrolagus bennettianus,3562.48350099185,10458.82,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,NT,Herbivore
1109,Dendrolagus dorianus,39846.759053861,8976.58,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,VU,Herbivore
1110,Dendrolagus goodfellowi,114877.91565727,7948.78,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,EN,Herbivore
1111,Dendrolagus inustus,144432.818908894,12625,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,VU,Herbivore
1114,Dendrolagus mbaiso,5558.29299460043,9395.06,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,EN,Herbivore
1115,Dendrolagus notatus,84950.0012618922,9469.198333,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,EN,Herbivore
1116,Dendrolagus pulcherrimus,235.410311256526,8025,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,CR,Herbivore
1117,Dendrolagus scottae,1246.35691810405,9958.58,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,CR,Herbivore
1118,Dendrolagus spadix,49874.3100766331,8468.2,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,VU,Herbivore
1119,Dendrolagus stellarum,46924.9048615546,9581,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,VU,Herbivore
1120,Dendrolagus ursinus,28295.8472647286,13249.99,DIPROTODONTIA,MACROPODIDAE,Dendrolagus,VU,Herbivore
1121,Dendromus insignis,26896.8638886756,11.051,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1122,Dendromus kahuziensis,122.945382263667,3.009225357,RODENTIA,NESOMYIDAE,Dendromus,CR,Omnivore
1123,Dendromus kivu,27532.3414816334,8.508934408,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1124,Dendromus lovati,38666.7565968737,12,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1125,Dendromus melanotis,4308159.88164048,9.1,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1126,Dendromus mesomelas,588649.465986462,10.2,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1127,Dendromus messorius,60941.7118843069,4.039489771,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1128,Dendromus mystacalis,2937070.7696578,8.17,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1129,Dendromus nyikae,2375781.56726987,15,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1130,Dendromus oreas,1370.20214548131,4.010694547,RODENTIA,NESOMYIDAE,Dendromus,LC,Omnivore
1131,Dendromus vernayi,318.138088679083,8.508934408,RODENTIA,NESOMYIDAE,Dendromus,DD,Omnivore
1132,Dendroprionomys rousseloti,281.749671696562,115.8328212,RODENTIA,NESOMYIDAE,Dendroprionomys,DD,Insectivore
1133,Deomys ferrugineus,1293567.57666845,57.6,RODENTIA,MURIDAE,Deomys,LC,Insectivore
1134,Dephomys defua,426031.052304743,43.05,RODENTIA,MURIDAE,Dephomys,LC,Omnivore
1135,Desmana moschata,1215779.59252874,427.64,EULIPOTYPHLA,TALPIDAE,Desmana,EN,Insectivore
1136,Desmodilliscus braueri,3380052.79147188,10,RODENTIA,MURIDAE,Desmodilliscus,LC,Herbivore
1137,Desmodillus auricularis,1955062.26402392,54.81,RODENTIA,MURIDAE,Desmodillus,LC,Omnivore
1138,Desmodus rotundus,17726359.1263108,33.16,CHIROPTERA,PHYLLOSTOMIDAE,Desmodus,LC,Insectivore
1139,Desmomys harringtoni,265251.481760619,89.99,RODENTIA,MURIDAE,Desmomys,LC,Omnivore
1140,Desmomys yaldeni,9679.51509217065,89.99,RODENTIA,MURIDAE,Desmomys,VU,Omnivore
1141,Diaemus youngi,13058206.4298403,36.71,CHIROPTERA,PHYLLOSTOMIDAE,Diaemus,LC,Insectivore
1144,Diclidurus albus,12496308.3884662,16.56,CHIROPTERA,EMBALLONURIDAE,Diclidurus,LC,Insectivore
1145,Diclidurus ingens,2088132.05818881,12.3,CHIROPTERA,EMBALLONURIDAE,Diclidurus,DD,Insectivore
1146,Diclidurus scutatus,1540581.53063529,13.62,CHIROPTERA,EMBALLONURIDAE,Diclidurus,LC,Insectivore
1147,Dicrostonyx groenlandicus,2562411.18101778,58.44,RODENTIA,CRICETIDAE,Dicrostonyx,LC,Herbivore
1148,Dicrostonyx hudsonius,492576.538688924,57,RODENTIA,CRICETIDAE,Dicrostonyx,LC,Herbivore
1149,Dicrostonyx nelsoni,334089.064234558,55,RODENTIA,CRICETIDAE,Dicrostonyx,LC,Herbivore
1150,Dicrostonyx nunatakensis,54586.1058058304,54.4,RODENTIA,CRICETIDAE,Dicrostonyx,LC,Herbivore
1151,Dicrostonyx richardsoni,405394.532619255,55,RODENTIA,CRICETIDAE,Dicrostonyx,LC,Herbivore
1152,Dicrostonyx torquatus,2616020.38117989,78.77,RODENTIA,CRICETIDAE,Dicrostonyx,LC,Herbivore
1153,Dicrostonyx unalascensis,4510.24209443459,59.76833333,RODENTIA,CRICETIDAE,Dicrostonyx,DD,Herbivore
1154,Dicrostonyx vinogradovi,7784.62053071205,59.76833333,RODENTIA,CRICETIDAE,Dicrostonyx,DD,Herbivore
1155,Didelphis albiventris,6797489.86709298,1030.47,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,LC,Omnivore
1156,Didelphis aurita,1447726.33568135,1105.88,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,LC,Omnivore
1157,Didelphis imperfecta,530394.792370111,904.003,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,LC,Omnivore
1158,Didelphis marsupialis,9324107.29816432,1134.75,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,LC,Omnivore
1159,Didelphis pernigra,1033723.97653064,904.003,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,LC,Omnivore
1160,Didelphis virginiana,6032869.68850477,2442.08,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,LC,Omnivore
1161,Dinaromys bogdanovi,79580.1661559314,56,RODENTIA,CRICETIDAE,Dinaromys,VU,Herbivore
1162,Dinomys branickii,1390160.90150305,12500,RODENTIA,DINOMYIDAE,Dinomys,LC,Herbivore
1163,Diomys crumpi,96.6047253097585,141.0605074,RODENTIA,MURIDAE,Diomys,DD,Omnivore
1164,Diphylla ecaudata,8093132.20167838,28.11,CHIROPTERA,PHYLLOSTOMIDAE,Diphylla,LC,Insectivore
1166,Diplomesodon pulchellum,1818327.25089661,11,EULIPOTYPHLA,SORICIDAE,Diplomesodon,LC,Insectivore
1167,Diplomys caniceps,432.217171735491,394.49,RODENTIA,ECHIMYIDAE,Diplomys,DD,Herbivore
1168,Diplomys labilis,110967.08601826,282.17,RODENTIA,ECHIMYIDAE,Diplomys,LC,Herbivore
1169,Diplothrix legata,799.969601026519,63.85388804,RODENTIA,MURIDAE,Diplothrix,EN,Omnivore
1170,Dipodomys agilis,38594.2507774657,60.21,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Herbivore
1171,Dipodomys californicus,86207.7307407527,84.95,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Herbivore
1172,Dipodomys compactus,49441.4225465702,49.25,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Herbivore
1173,Dipodomys deserti,307698.145029493,107.63,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Omnivore
1174,Dipodomys elator,10768.000841537,105.82,RODENTIA,HETEROMYIDAE,Dipodomys,VU,Omnivore
1176,Dipodomys heermanni,70207.5680988255,63.08,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Herbivore
1177,Dipodomys ingens,6784.23836180907,113.61,RODENTIA,HETEROMYIDAE,Dipodomys,EN,Herbivore
1178,Dipodomys merriami,1423719.87720416,37.91,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Omnivore
1179,Dipodomys microps,392309.427576129,56.26,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Herbivore
1180,Dipodomys nelsoni,192575.908668449,87.93,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Omnivore
1181,Dipodomys nitratoides,11331.422554106,41.59,RODENTIA,HETEROMYIDAE,Dipodomys,VU,Herbivore
1182,Dipodomys ordii,3419419.16244289,50.4,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Omnivore
1183,Dipodomys panamintinus,60989.1799678342,73.67,RODENTIA,HETEROMYIDAE,Dipodomys,LC,Herbivore
