binomial,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
Akodon lutescens,118603.690135153,20.69,LC,Omnivore,RODENTIA
Akodon mimus,57439.2776439501,23.99,LC,Omnivore,RODENTIA
Akodon molinae,429193.487575575,32.99,LC,Omnivore,RODENTIA
Akodon mollis,265351.806490431,30.39,LC,Omnivore,RODENTIA
Akodon montensis,1050409.3712121,34.65,LC,Omnivore,RODENTIA
Akodon mystax,470.564415275806,32.51675676,DD,Omnivore,RODENTIA
Akodon orophilus,33882.5213339711,38.99,LC,Omnivore,RODENTIA
Akodon paranaensis,482668.960977056,32.51675676,LC,Omnivore,RODENTIA
Akodon pervalens,29095.8518961263,32.51675676,DD,Omnivore,RODENTIA
Akodon philipmyersi,2113.64518534118,23,DD,Omnivore,RODENTIA
Akodon reigi,65868.0713318508,32.51675676,LC,Omnivore,RODENTIA
Akodon sanctipaulensis,758.196660021224,27.1,DD,Omnivore,RODENTIA
Akodon serrensis,275871.625048412,28.3,LC,Omnivore,RODENTIA
Akodon siberiae,25253.9039888276,34.6,NT,Omnivore,RODENTIA
Akodon simulator,156808.587440728,42.5,LC,Omnivore,RODENTIA
Akodon spegazzinii,56727.7142555455,28.6,LC,Omnivore,RODENTIA
Akodon subfuscus,171092.782757145,30.39,LC,Omnivore,RODENTIA
Akodon surdus,16434.6390825699,38.99,VU,Omnivore,RODENTIA
Akodon sylvanus,39317.4225683455,38.99,LC,Omnivore,RODENTIA
Akodon toba,443710.583711491,51.2,LC,Omnivore,RODENTIA
Akodon torques,66658.2628670339,38.99,LC,Omnivore,RODENTIA
Akodon varius,244639.989062437,40,DD,Omnivore,RODENTIA
Alcelaphus buselaphus,6759382.24430768,160937.9,LC,Herbivore,CETARTIODACTYLA
Alces alces,23096275.4894132,461900.8,LC,Herbivore,CETARTIODACTYLA
Alionycteris paucidentata,5062.76098802025,16.24,LC,Herbivore,CHIROPTERA
Allactaga balikunica,234833.463551849,72.5,LC,Omnivore,RODENTIA
Allactaga bullata,1563030.11007081,72.5,LC,Omnivore,RODENTIA
Allactaga elater,3246019.05576239,59,LC,Omnivore,RODENTIA
Allactaga euphratica,734308.906934771,232,NT,Herbivore,RODENTIA
Allactaga firouzi,1316.18605183535,114.1964539,DD,Herbivore,RODENTIA
