,binomial,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
1190,Distoechurus pennatus,536111.970965458,52.74,LC,Omnivore,DIPROTODONTIA
1191,Dobsonia anderseni,46526.9955495129,233.99,LC,Herbivore,CHIROPTERA
1192,Dobsonia beauforti,7912.7700304551,165.35,LC,Herbivore,CHIROPTERA
1193,Dobsonia chapmani,29.1132412042775,224.3275,CR,Herbivore,CHIROPTERA
1194,Dobsonia crenulata,209291.77129384302,218.21,LC,Herbivore,CHIROPTERA
1195,Dobsonia emersa,2533.4045172623896,201.06,VU,Herbivore,CHIROPTERA
1196,Dobsonia exoleta,179910.94415485,302.03,LC,Herbivore,CHIROPTERA
1197,Dobsonia inermis,34750.3400188637,152.6,LC,Herbivore,CHIROPTERA
1198,Dobsonia minor,614850.4344276821,85.95,LC,Herbivore,CHIROPTERA
1199,Dobsonia moluccensis,31934.7740735509,447.64,LC,Herbivore,CHIROPTERA
1200,Dobsonia pannietensis,5415.20261109915,239.19,NT,Herbivore,CHIROPTERA
1201,Dobsonia peronii,87783.6915670047,226.51,LC,Herbivore,CHIROPTERA
1202,Dobsonia praedatrix,44746.1207589676,178.74,LC,Herbivore,CHIROPTERA
1203,Dobsonia viridis,27753.0086080217,240.66,LC,Herbivore,CHIROPTERA
1204,Dolichotis patagonum,1242816.99450435,8000.0,NT,Herbivore,RODENTIA
1205,Dolichotis salinicola,735968.0493080929,1607.6,LC,Herbivore,RODENTIA
1206,Dologale dybowskii,484539.134779161,361.92,DD,Insectivore,CARNIVORA
1208,Dorcopsis atrata,83.2502701600458,6198.87,CR,Herbivore,DIPROTODONTIA
1209,Dorcopsis hageni,152971.243088597,5499.99,LC,Herbivore,DIPROTODONTIA
1210,Dorcopsis luctuosa,159592.355001465,4939.56,VU,Herbivore,DIPROTODONTIA
1211,Dorcopsis muelleri,125654.760141084,5370.79,LC,Herbivore,DIPROTODONTIA
1212,Dorcopsulus macleayi,25885.915894256803,2780.54,LC,Herbivore,DIPROTODONTIA
1213,Dorcopsulus vanheurni,179394.549792145,1890.36,NT,Herbivore,DIPROTODONTIA
1214,Dremomys everetti,65727.4204386262,129.78,LC,Omnivore,RODENTIA
1215,Dremomys gularis,42686.4713258016,246.43442569999996,LC,Omnivore,RODENTIA
1216,Dremomys lokriah,361879.037407143,226.99,LC,Omnivore,RODENTIA
1217,Dremomys pernyi,1752952.87398509,198.63,LC,Omnivore,RODENTIA
1218,Dremomys pyrrhomerus,273471.04054245,245.0,LC,Omnivore,RODENTIA
1219,Dremomys rufigenis,1600227.67373367,200.32,LC,Omnivore,RODENTIA
1220,Dromiciops gliroides,139169.354701194,25.0,NT,Insectivore,MICROBIOTHERIA
1221,Dryomys laniger,28682.0879140746,25.91,DD,Omnivore,RODENTIA
1222,Dryomys niethammeri,28.9522554980965,27.705,VU,Omnivore,RODENTIA
1223,Dryomys nitedula,5228746.460771901,29.5,LC,Omnivore,RODENTIA
1224,Dyacopterus brooksi,429470.11527818796,81.1,VU,Herbivore,CHIROPTERA
1225,Dyacopterus spadiceus,445029.70349100896,81.1,NT,Herbivore,CHIROPTERA
1226,Dymecodon pilirostris,38974.9460335307,15.46,LC,Insectivore,EULIPOTYPHLA
1227,Echimys chrysurus,1583343.24159816,609.99,LC,Herbivore,RODENTIA
1228,Echimys saturnus,131046.35986593,626.89,DD,Herbivore,RODENTIA
1229,Echimys vieirai,68147.08898722481,618.44,DD,Herbivore,RODENTIA
1230,Echinops telfairi,111004.16219444,152.25,LC,Carnivore,AFROSORICIDA
1231,Echinosorex gymnura,1373927.42762631,756.53,LC,Omnivore,EULIPOTYPHLA
1232,Echiothrix centrosa,29007.0560796586,265.0,VU,Insectivore,RODENTIA
1233,Echiothrix leucura,3632.5040713277795,265.0,EN,Insectivore,RODENTIA
1234,Echymipera clara,175468.595637961,1204.61,LC,Herbivore,PERAMELEMORPHIA
1235,Echymipera davidi,278.313130788063,817.05,EN,NotAssigned,PERAMELEMORPHIA
1236,Echymipera echinista,631.162547758179,1204.61,DD,NotAssigned,PERAMELEMORPHIA
1237,Echymipera kalubu,840230.1804772441,825.16,LC,Omnivore,PERAMELEMORPHIA
1238,Echymipera rufescens,859314.674934042,1051.48,LC,NotAssigned,PERAMELEMORPHIA
1239,Ectophylla alba,124361.57324332901,5.55,NT,Herbivore,CHIROPTERA
1240,Eidolon dupreanum,460027.210780443,297.58,VU,Herbivore,CHIROPTERA
1241,Eidolon helvum,11802302.346646301,254.61,NT,Herbivore,CHIROPTERA
1242,Eira barbara,13375343.9863132,4134.99,LC,Omnivore,CARNIVORA
1244,Elephantulus brachyrhynchus,3874147.19884904,45.11,LC,Omnivore,MACROSCELIDEA
1245,Elephantulus edwardii,193798.08017556602,49.69,LC,Omnivore,MACROSCELIDEA
1246,Elephantulus fuscipes,150897.655780953,57.0,DD,Omnivore,MACROSCELIDEA
1247,Elephantulus fuscus,155038.173423856,50.45666667,DD,Omnivore,MACROSCELIDEA
1248,Elephantulus intufi,1212986.36815884,48.9,LC,Omnivore,MACROSCELIDEA
1249,Elephantulus myurus,968379.5992615741,59.51,LC,Omnivore,MACROSCELIDEA
1250,Elephantulus pilicaudus,28388.862354480298,50.45666667,DD,Omnivore,MACROSCELIDEA
1251,Elephantulus rozeti,730304.7837919709,43.07,LC,Omnivore,MACROSCELIDEA
1252,Elephantulus rufescens,1493641.12689857,52.78,LC,Omnivore,MACROSCELIDEA
1253,Elephantulus rupestris,557904.436418318,65.56,LC,Omnivore,MACROSCELIDEA
1255,Eligmodontia moreni,46842.7751853783,18.0,LC,Omnivore,RODENTIA
1256,Eligmodontia morgani,371796.230142857,16.5,LC,Omnivore,RODENTIA
1257,Eligmodontia puerulus,447158.566023025,28.49,LC,Omnivore,RODENTIA
1258,Eligmodontia typus,922783.356541218,17.37,LC,Omnivore,RODENTIA
1259,Eliomys melanurus,148690.970887654,100.36,LC,Omnivore,RODENTIA
1260,Eliomys munbyanus,873740.0777653641,3.365900551,LC,Omnivore,RODENTIA
1261,Eliomys quercinus,2362163.69990584,114.61,NT,Omnivore,RODENTIA
1262,Eliurus antsingy,1263.36436650585,81.67625,DD,Omnivore,RODENTIA
1263,Eliurus danieli,866.351276569299,81.67625,LC,Omnivore,RODENTIA
1264,Eliurus ellermani,19.8138784000385,100.0,DD,Omnivore,RODENTIA
1265,Eliurus grandidieri,60596.301195969005,81.67625,LC,Omnivore,RODENTIA
1266,Eliurus majori,88713.4416280689,100.0,LC,Omnivore,RODENTIA
1267,Eliurus minor,114231.273012532,57.53,LC,Omnivore,RODENTIA
1268,Eliurus myoxinus,279015.095275265,69.76,LC,Omnivore,RODENTIA
1269,Eliurus penicillatus,1756.69571920801,100.0,EN,Omnivore,RODENTIA
1270,Eliurus petteri,1491.97502938086,75.0,EN,Omnivore,RODENTIA
1271,Eliurus tanala,120856.310808766,89.99,LC,Omnivore,RODENTIA
1272,Eliurus webbi,133408.493356068,61.13,LC,Omnivore,RODENTIA
1273,Ellobius alaicus,2603.33915164247,74.32825,DD,Herbivore,RODENTIA
1274,Ellobius fuscocapillus,478896.24894420005,80.0,LC,Herbivore,RODENTIA
1275,Ellobius lutescens,310071.39447402,117.31299999999999,LC,Herbivore,RODENTIA
1276,Ellobius talpinus,2984350.72463607,40.0,LC,Herbivore,RODENTIA
1277,Ellobius tancrei,3010223.77589316,60.0,LC,Herbivore,RODENTIA
1278,Emballonura alecto,1212058.6695057,5.25,LC,Insectivore,CHIROPTERA
1279,Emballonura beccarii,91119.16994820349,4.31,LC,Insectivore,CHIROPTERA
1280,Emballonura dianae,90456.7925968696,5.226666667,LC,Insectivore,CHIROPTERA
1281,Emballonura furax,67863.56448875401,5.226666667,LC,Insectivore,CHIROPTERA
1282,Emballonura monticola,1690479.33930551,5.35,LC,Insectivore,CHIROPTERA
1283,Emballonura raffrayana,216455.310751326,5.61,LC,Insectivore,CHIROPTERA
1284,Emballonura semicaudata,2134.9116905778897,6.29,EN,Insectivore,CHIROPTERA
1285,Emballonura serii,9326.43508024316,5.226666667,LC,Insectivore,CHIROPTERA
1286,Enchisthenes hartii,3104105.99115554,16.99,LC,Herbivore,CHIROPTERA
1288,Eoglaucomys fimbriatus,188936.375655007,510.0,LC,Herbivore,RODENTIA
1289,Eolagurus luteus,398226.360868715,26.0,LC,Herbivore,RODENTIA
1290,Eolagurus przewalskii,903281.552420641,46.25861204,LC,Herbivore,RODENTIA
1291,Eonycteris major,732628.361394136,70.7,DD,Herbivore,CHIROPTERA
1292,Eonycteris robusta,114506.364486385,78.36,NT,Herbivore,CHIROPTERA
1293,Eonycteris spelaea,3525628.50468071,58.7,LC,Herbivore,CHIROPTERA
1294,Eospalax fontanierii,1200746.71096265,256.76,LC,Herbivore,RODENTIA
1295,Eospalax rothschildi,231871.240153892,104.345,LC,Herbivore,RODENTIA
1296,Eospalax smithii,134689.49834813402,94.15,LC,Herbivore,RODENTIA
1297,Eothenomys cachinus,26620.9153440143,46.25861204,LC,Omnivore,RODENTIA
1298,Eothenomys chinensis,8999.06495964673,45.3,LC,Omnivore,RODENTIA
1299,Eothenomys custos,115771.459856414,30.8,LC,Omnivore,RODENTIA
1300,Eothenomys melanogaster,1722986.44419335,19.59,LC,Omnivore,RODENTIA
1301,Eothenomys miletus,402718.020611193,46.25861204,LC,Omnivore,RODENTIA
1302,Eothenomys olitor,177906.740797603,22.0,LC,Omnivore,RODENTIA
1303,Eothenomys proditor,38470.005994408304,42.5,LC,Omnivore,RODENTIA
1304,Eothenomys wardi,8331.72743117142,46.25861204,NT,Omnivore,RODENTIA
1305,Eozapus setchuanus,545021.10657693,32.576,LC,Herbivore,RODENTIA
1306,Episoriculus caudatus,315602.345456484,6.27,LC,Carnivore,EULIPOTYPHLA
1307,Episoriculus fumidus,12808.6502188059,6.95,LC,Carnivore,EULIPOTYPHLA
1308,Episoriculus leucops,236569.001284409,9.35,LC,Carnivore,EULIPOTYPHLA
1309,Episoriculus macrurus,375510.082941475,8.157340556,LC,Carnivore,EULIPOTYPHLA
1310,Epixerus ebii,540525.789541568,520.96,LC,Omnivore,RODENTIA
1311,Epomophorus angolensis,383572.65420883795,88.458,NT,Herbivore,CHIROPTERA
1312,Epomophorus anselli,3093.94335164276,88.458,DD,Herbivore,CHIROPTERA
1313,Epomophorus crypturus,2084351.8023931999,95.04,LC,Herbivore,CHIROPTERA
1314,Epomophorus gambianus,3791198.00277294,134.59,LC,Herbivore,CHIROPTERA
1315,Epomophorus grandis,508.126194390548,49.42,DD,Herbivore,CHIROPTERA
1316,Epomophorus labiatus,1765045.21146169,69.65,LC,Herbivore,CHIROPTERA
1317,Epomophorus minimus,264485.88219587604,88.458,LC,Herbivore,CHIROPTERA
1318,Epomophorus wahlbergi,4968585.01259272,93.59,LC,Herbivore,CHIROPTERA
1319,Epomops buettikoferi,1079555.41891581,135.67,LC,Herbivore,CHIROPTERA
1320,Epomops dobsonii,1366391.7936143,122.08,LC,Herbivore,CHIROPTERA
1321,Epomops franqueti,4509719.72633837,118.99,LC,Herbivore,CHIROPTERA
1322,Eptesicus andinus,811200.2737611771,12.56384615,LC,Insectivore,CHIROPTERA
1323,Eptesicus bobrinskoi,643909.243119347,7.54,LC,Insectivore,CHIROPTERA
1324,Eptesicus bottae,3885112.94636878,15.66,LC,Insectivore,CHIROPTERA
1325,Eptesicus brasiliensis,13117340.2625514,9.2,LC,Insectivore,CHIROPTERA
1326,Eptesicus chiriquinus,187151.35715465,12.56384615,LC,Insectivore,CHIROPTERA
1327,Eptesicus diminutus,2385956.80538973,5.99,LC,Insectivore,CHIROPTERA
1328,Eptesicus dimissus,4071.48494949636,13.03,DD,Insectivore,CHIROPTERA
1329,Eptesicus floweri,876002.548256224,12.56384615,LC,Insectivore,CHIROPTERA
1330,Eptesicus furinalis,16292708.034045199,7.7,LC,Insectivore,CHIROPTERA
1331,Eptesicus fuscus,12789255.2223667,17.49,LC,Insectivore,CHIROPTERA
1332,Eptesicus gobiensis,3883902.0860676,12.56384615,LC,Insectivore,CHIROPTERA
1333,Eptesicus guadeloupensis,1468.6884163070401,12.56384615,EN,Insectivore,CHIROPTERA
1334,Eptesicus hottentotus,2853467.58228729,30.33,LC,Insectivore,CHIROPTERA
1335,Eptesicus innoxius,167224.00678459302,12.56384615,NT,Insectivore,CHIROPTERA
1336,Eptesicus japonensis,3409.8874625226695,12.56384615,EN,Insectivore,CHIROPTERA
1337,Eptesicus nasutus,1865591.72386752,7.91,LC,Insectivore,CHIROPTERA
1338,Eptesicus nilssonii,10472992.149605,10.72,LC,Insectivore,CHIROPTERA
1339,Eptesicus pachyotis,1205038.29779501,8.1,LC,Insectivore,CHIROPTERA
1340,Eptesicus platyops,926.100899002013,12.56384615,DD,Insectivore,CHIROPTERA
1341,Eptesicus serotinus,12118863.1355357,23.09,LC,Insectivore,CHIROPTERA
1342,Eptesicus tatei,1128.0017013863699,12.56384615,DD,Insectivore,CHIROPTERA
1348,Equus zebra,319595.87002287,282462.1,VU,Herbivore,PERISSODACTYLA
1349,Eremitalpa granti,50294.0620368367,22.04,LC,Insectivore,AFROSORICIDA
1350,Eremodipus lichtensteini,559492.75530987,51.0,LC,Herbivore,RODENTIA
1351,Eremoryzomys polius,14290.2911803919,60.64641072,DD,Omnivore,RODENTIA
1352,Erethizon dorsatum,12063259.7663855,7419.46,LC,Herbivore,RODENTIA
1353,Erinaceus amurensis,4254779.30908876,780.0,LC,Insectivore,EULIPOTYPHLA
1354,Erinaceus concolor,1346254.76899388,665.99,LC,Insectivore,EULIPOTYPHLA
1355,Erinaceus europaeus,3809039.02164745,777.95,LC,Carnivore,EULIPOTYPHLA
1356,Erinaceus roumanicus,6029712.13266516,772.0,LC,Carnivore,EULIPOTYPHLA
1357,Eropeplus canus,12606.8959476368,50.0,VU,Omnivore,RODENTIA
1358,Erophylla bombifrons,82891.9487832304,16.28,LC,Omnivore,CHIROPTERA
1359,Erophylla sezekorni,122945.38402078,15.87,LC,Omnivore,CHIROPTERA
1360,Erythrocebus patas,7128871.52875506,7966.3,LC,Herbivore,PRIMATES
1361,Euchoreutes naso,1674846.98877549,24.14,LC,Insectivore,RODENTIA
1362,Euderma maculatum,2104986.0742718996,16.17,LC,Insectivore,CHIROPTERA
1363,Eudiscopus denticulus,5126.24409391677,10.17892383,LC,Insectivore,CHIROPTERA
1368,Eulemur albifrons,18368.020505872,2300.0,EN,Herbivore,PRIMATES
1370,Eulemur collaris,8159.92914666677,2250.0,EN,Herbivore,PRIMATES
1371,Eulemur coronatus,6235.8179855973995,1699.85,EN,Herbivore,PRIMATES
1372,Eulemur flavifrons,2530.9241776700896,2158.365455,CR,NotAssigned,PRIMATES
1373,Eulemur fulvus,48249.446627835,2376.99,NT,Herbivore,PRIMATES
1374,Eulemur macaco,8304.30530909436,2040.0,VU,Herbivore,PRIMATES
1375,Eulemur mongoz,6668.95556286026,1771.13,CR,Herbivore,PRIMATES
1376,Eulemur rubriventer,49839.087251341,2015.4,VU,Herbivore,PRIMATES
1377,Eulemur rufifrons,32614.16536993,2250.0,NT,Herbivore,PRIMATES
1378,Eulemur rufus,38354.4568587664,2394.62,VU,Herbivore,PRIMATES
1379,Eulemur sanfordi,3693.58988548729,2394.03,EN,Herbivore,PRIMATES
1380,Eumops auripendulus,14106769.8985031,28.49,LC,Insectivore,CHIROPTERA
1381,Eumops bonariensis,1161090.37366128,12.22,LC,Insectivore,CHIROPTERA
1382,Eumops dabbenei,2407709.82284604,67.27,LC,Insectivore,CHIROPTERA
1384,Eumops glaucinus,8971213.90378251,36.2,LC,Insectivore,CHIROPTERA
1385,Eumops hansae,6416222.89102568,15.47,LC,Insectivore,CHIROPTERA
1386,Eumops maurus,1223527.24983319,38.47,DD,Insectivore,CHIROPTERA
1387,Eumops patagonicus,1535787.15156589,38.47,LC,Insectivore,CHIROPTERA
1388,Eumops perotis,11695631.2695605,50.97,LC,Insectivore,CHIROPTERA
1389,Eumops trumbulli,4744456.13741025,38.47,LC,Insectivore,CHIROPTERA
1390,Eumops underwoodi,955823.887095143,58.67,LC,Insectivore,CHIROPTERA
1391,Euneomys chinchilloides,76633.3132615624,75.57,DD,Herbivore,RODENTIA
1392,Euneomys fossor,9897.8557933439,83.0,DD,Herbivore,RODENTIA
1393,Euneomys mordax,52358.500807719596,81.99,LC,Herbivore,RODENTIA
1394,Euneomys petersoni,591117.957365114,83.0,LC,Herbivore,RODENTIA
1395,Euoticus elegantulus,782197.192098094,295.48,LC,Omnivore,PRIMATES
1396,Euoticus pallidus,95879.1619139475,277.37,LC,Herbivore,PRIMATES
1398,Eupleres goudotii,83230.6296119184,2763.34,VU,Insectivore,CARNIVORA
1399,Euroscaptor grandis,114257.542044766,46.84098624,LC,Insectivore,EULIPOTYPHLA
1400,Euroscaptor klossi,668553.019947037,80.33613646,LC,Insectivore,EULIPOTYPHLA
1401,Euroscaptor longirostris,267778.54547017696,46.84098624,LC,Insectivore,EULIPOTYPHLA
1402,Euroscaptor micrura,38881.7112140464,60.46,LC,Insectivore,EULIPOTYPHLA
1403,Euroscaptor mizura,15898.036874778301,25.05,LC,Insectivore,EULIPOTYPHLA
1404,Euroscaptor parvidens,4751.092691951079,51.90562179,DD,Insectivore,EULIPOTYPHLA
1405,Euryoryzomys emmonsae,240656.61850665102,59.9882,DD,Omnivore,RODENTIA
1406,Euryoryzomys lamia,122788.95999730301,60.5005,EN,Omnivore,RODENTIA
1407,Euryoryzomys legatus,64154.9076151103,61.5005,LC,Omnivore,RODENTIA
1408,Euryoryzomys macconnelli,4294868.36979962,62.245,LC,Omnivore,RODENTIA
1409,Euryoryzomys nitidus,1303446.66013608,55.195,LC,Omnivore,RODENTIA
1410,Euryoryzomys russatus,1009408.81999676,60.5,LC,Omnivore,RODENTIA
1411,Euryzygomatomys spinosus,807543.6605591291,187.49,LC,Herbivore,RODENTIA
1412,Exilisciurus concinnus,120457.565768531,27.72,LC,Omnivore,RODENTIA
1413,Exilisciurus exilis,692681.060484437,21.75,DD,Omnivore,RODENTIA
1414,Exilisciurus whiteheadi,155450.15213123598,24.91,LC,Herbivore,RODENTIA
1415,Falsistrellus affinis,352717.551891355,22.77,LC,Insectivore,CHIROPTERA
1416,Falsistrellus mackenziei,24587.2370648416,23.0,NT,Insectivore,CHIROPTERA
1417,Falsistrellus mordax,126420.496690399,22.77,DD,Insectivore,CHIROPTERA
1418,Falsistrellus petersi,28175.725023437997,22.77,DD,Insectivore,CHIROPTERA
1419,Falsistrellus tasmaniensis,386354.106635091,22.54,LC,Insectivore,CHIROPTERA
1420,Felis chaus,7003453.04913436,7157.99,LC,Carnivore,CARNIVORA
1423,Felis silvestris,29179663.482988,4573.08,LC,Carnivore,CARNIVORA
1424,Felovia vae,183986.239062224,205.0,LC,Herbivore,RODENTIA
1425,Feroculus feroculus,2647.2661072316896,35.99,EN,Omnivore,EULIPOTYPHLA
1426,Fossa fossana,91103.5913097899,1853.98,VU,Insectivore,CARNIVORA
1427,Funambulus layardi,1276.8263923393902,168.0,VU,Omnivore,RODENTIA
1428,Funambulus palmarum,1263136.90367526,136.4,LC,Omnivore,RODENTIA
1429,Funambulus pennantii,2908289.19787053,102.49,LC,Omnivore,RODENTIA
1430,Funambulus sublineatus,28410.7183093891,70.93,VU,Omnivore,RODENTIA
1431,Funambulus tristriatus,79432.0691265506,134.62,LC,Omnivore,RODENTIA
1432,Funisciurus anerythrus,2279777.20437362,223.54,LC,Herbivore,RODENTIA
1433,Funisciurus bayonii,385069.49246798205,134.99,DD,Herbivore,RODENTIA
1434,Funisciurus carruthersi,93369.0796537718,276.85,LC,Herbivore,RODENTIA
1435,Funisciurus congicus,1735003.1246518998,112.0,LC,Herbivore,RODENTIA
1436,Funisciurus duchaillui,3488.47842026397,186.28777780000001,DD,Herbivore,RODENTIA
1437,Funisciurus isabella,570175.349184772,109.31,LC,Herbivore,RODENTIA
1438,Funisciurus lemniscatus,610756.5197674,140.99,LC,Herbivore,RODENTIA
1439,Funisciurus leucogenys,411996.766544474,250.0,LC,Herbivore,RODENTIA
1440,Funisciurus pyrropus,2153132.08962956,243.18,LC,Herbivore,RODENTIA
1441,Funisciurus substriatus,224767.78045375,185.73,DD,Herbivore,RODENTIA
1442,Furipterus horrens,9816319.16143748,3.15,LC,Insectivore,CHIROPTERA
1443,Galago gallarum,456007.297350285,250.0,LC,Omnivore,PRIMATES
1444,Galago matschiei,87132.20840740741,211.61,LC,Omnivore,PRIMATES
1445,Galago moholi,4247265.67806612,191.96,LC,Omnivore,PRIMATES
1446,Galago senegalensis,8388328.00235486,215.2,LC,Omnivore,PRIMATES
1447,Galagoides cocos,7016.580728992491,146.8,LC,Omnivore,PRIMATES
1448,Galagoides granti,521553.37737899204,134.0,LC,Omnivore,PRIMATES
1449,Galagoides orinus,19017.6405659509,100.0,NT,Omnivore,PRIMATES
1450,Galagoides rondoensis,126.80379289861901,111.92,CR,Omnivore,PRIMATES
1451,Galagoides thomasi,4501161.11266724,99.0,LC,Omnivore,PRIMATES
1452,Galagoides zanzibaricus,7100.21750366867,146.8,LC,Omnivore,PRIMATES
1453,Galea flavidens,32759.673741925897,450.0,LC,Herbivore,RODENTIA
1454,Galea musteloides,320041.84273783397,386.64,DD,Herbivore,RODENTIA
1455,Galea spixii,1699340.10207327,360.61,LC,Herbivore,RODENTIA
1456,Galemys pyrenaicus,163324.675724807,60.17,VU,Insectivore,EULIPOTYPHLA
1457,Galenomys garleppi,19190.7859513106,59.3,DD,Herbivore,RODENTIA
1458,Galeopterus variegatus,1406441.08156597,1100.0,LC,Herbivore,DERMOPTERA
1459,Galictis cuja,7672212.76885737,1000.0,LC,Omnivore,CARNIVORA
1460,Galictis vittata,10014921.106939,3200.0,LC,Omnivore,CARNIVORA
1461,Galidia elegans,92492.35148372891,810.0,LC,Omnivore,CARNIVORA
1462,Galidictis fasciata,82601.7212000888,549.99,VU,Carnivore,CARNIVORA
1466,Gazella cuvieri,152444.459928803,25000.0,VU,Herbivore,CETARTIODACTYLA
1467,Gazella dorcas,9905633.37300148,15635.95,VU,Herbivore,CETARTIODACTYLA
1471,Gazella spekei,174000.218891105,20000.0,EN,Herbivore,CETARTIODACTYLA
1473,Genetta abyssinica,501099.835585761,1405.48,DD,Carnivore,CARNIVORA
1474,Genetta angolensis,1399075.96504168,1859.64,LC,Carnivore,CARNIVORA
1477,Genetta genetta,13963100.997339498,1756.17,LC,Omnivore,CARNIVORA
1478,Genetta johnstoni,307033.321772629,2225.0,NT,Carnivore,CARNIVORA
1479,Genetta maculata,12856906.1912519,1950.0,LC,Carnivore,CARNIVORA
1480,Genetta pardina,1435141.69139369,2290.868,LC,Carnivore,CARNIVORA
1482,Genetta poensis,129350.49114354301,1865.378167,DD,Carnivore,CARNIVORA
1483,Genetta servalina,3171148.45703144,1175.84,LC,Carnivore,CARNIVORA
1484,Genetta thierryi,2584305.82799639,1400.0,LC,Carnivore,CARNIVORA
1485,Genetta tigrina,212859.64444913,2066.57,LC,Carnivore,CARNIVORA
1486,Genetta victoriae,542907.301641487,2743.69,LC,Carnivore,CARNIVORA
1487,Geocapromys brownii,781.115023355741,1497.48,VU,Herbivore,RODENTIA
1489,Geogale aurita,10985.1614623612,6.69,LC,Insectivore,AFROSORICIDA
1490,Geomys arenarius,120545.32936043199,206.0,NT,Herbivore,RODENTIA
1491,Geomys attwateri,47739.849435200704,144.06,LC,Herbivore,RODENTIA
1492,Geomys breviceps,204297.60133324898,136.47,LC,Herbivore,RODENTIA
1493,Geomys bursarius,1536362.13943351,203.75,LC,Herbivore,RODENTIA
1494,Geomys knoxjonesi,58444.97486872599,172.49,LC,Herbivore,RODENTIA
1495,Geomys personatus,35465.3142608317,397.0,LC,Herbivore,RODENTIA
1496,Geomys pinetis,241352.66746152,201.15,LC,Herbivore,RODENTIA
1497,Geomys texensis,18189.3036425134,203.75099999999998,LC,Herbivore,RODENTIA
1498,Geomys tropicalis,1683.79891242543,349.99,CR,Herbivore,RODENTIA
1499,Georychus capensis,159405.665642234,188.36,LC,Herbivore,RODENTIA
1500,Geoxus valdivianus,232674.620971453,30.8,LC,Insectivore,RODENTIA
1501,Gerbilliscus afra,100211.97189234801,92.13,LC,Omnivore,RODENTIA
1502,Gerbilliscus boehmi,1160670.68565088,49.03325904,LC,Omnivore,RODENTIA
1503,Gerbilliscus brantsii,2084250.89164558,89.41,LC,Omnivore,RODENTIA
1504,Gerbilliscus gambiana,281829.32291329897,99.38302355,LC,Omnivore,RODENTIA
1505,Gerbilliscus guineae,892568.3289967991,102.5,LC,Omnivore,RODENTIA
1506,Gerbilliscus inclusus,218326.24882774102,118.5,LC,Omnivore,RODENTIA
1507,Gerbilliscus kempi,4610375.98757381,100.83,LC,Omnivore,RODENTIA
1508,Gerbilliscus leucogaster,5765220.01200428,73.75,LC,Omnivore,RODENTIA
1509,Gerbilliscus nigricaudus,610486.933454951,123.0,LC,Omnivore,RODENTIA
1510,Gerbilliscus phillipsi,71840.7376720262,127.07,LC,Omnivore,RODENTIA
1511,Gerbilliscus robustus,5165788.12368488,95.99,LC,Omnivore,RODENTIA
1512,Gerbilliscus validus,4626297.07695167,121.0,LC,Omnivore,RODENTIA
1513,Gerbillurus paeba,2191068.73669553,25.91,LC,Herbivore,RODENTIA
1514,Gerbillurus setzeri,48792.2676970432,38.29,LC,Herbivore,RODENTIA
1515,Gerbillurus tytonis,56157.0268834523,29.79,LC,Herbivore,RODENTIA
1516,Gerbillurus vallinus,286817.658222561,35.24,LC,Herbivore,RODENTIA
1517,Gerbillus acticola,22931.4596120237,40.08709228,DD,Omnivore,RODENTIA
1518,Gerbillus amoenus,855059.3720642609,13.2,LC,Omnivore,RODENTIA
1519,Gerbillus andersoni,117595.800017265,27.5,LC,Omnivore,RODENTIA
1520,Gerbillus aquilus,559283.137567042,63.85388804,LC,Omnivore,RODENTIA
1521,Gerbillus bottai,31778.8773282787,40.08709228,DD,Omnivore,RODENTIA
1522,Gerbillus brockmani,308.690665473621,40.08709228,DD,Omnivore,RODENTIA
1523,Gerbillus campestris,1163231.53635915,28.4,LC,Omnivore,RODENTIA
1524,Gerbillus cheesmani,2285825.36903871,28.0,LC,Omnivore,RODENTIA
1525,Gerbillus cosensis,138824.185107236,40.08709228,DD,Omnivore,RODENTIA
1526,Gerbillus dasyurus,1542832.66152972,23.5,LC,Omnivore,RODENTIA
1527,Gerbillus dunni,359416.913007126,63.85388804,LC,Omnivore,RODENTIA
1528,Gerbillus famulus,52564.294740045,37.0,LC,Omnivore,RODENTIA
1529,Gerbillus floweri,78484.1208513668,63.85388804,LC,Omnivore,RODENTIA
1530,Gerbillus gerbillus,9376307.81519118,26.99,LC,Omnivore,RODENTIA
1531,Gerbillus gleadowi,183767.53586702698,26.01,LC,Omnivore,RODENTIA
1532,Gerbillus grobbeni,1140.10596595626,40.08709228,DD,Omnivore,RODENTIA
1533,Gerbillus harwoodi,205253.702653419,63.85388804,LC,Omnivore,RODENTIA
1534,Gerbillus henleyi,3846929.13240642,8.0,LC,Omnivore,RODENTIA
1535,Gerbillus hesperinus,724.5421565950929,63.85388804,EN,Omnivore,RODENTIA
1536,Gerbillus hoogstraali,6611.86782318464,63.85388804,VU,Omnivore,RODENTIA
1537,Gerbillus jamesi,812.516957588541,40.08709228,DD,Omnivore,RODENTIA
1538,Gerbillus juliani,67878.8645083999,40.08709228,LC,Omnivore,RODENTIA
1539,Gerbillus latastei,176128.179649271,39.55,LC,Omnivore,RODENTIA
1540,Gerbillus lowei,3445.4526222550103,40.08709228,DD,Omnivore,RODENTIA
1541,Gerbillus maghrebi,55225.667399343096,63.85388804,LC,Omnivore,RODENTIA
1542,Gerbillus mesopotamiae,219864.08109335802,20.0,LC,Omnivore,RODENTIA
