,binomial,Range_km_2,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
56,Aethomys bocagei,253323.02648704653,253323.286727661,63.85388804,LC,Herbivore,RODENTIA
57,Aethomys chrysophilus,4154303.1029472495,4154330.27917341,80.85,LC,Herbivore,RODENTIA
58,Aethomys hindei,2482096.143293938,2482352.20800869,140.65,LC,Omnivore,RODENTIA
59,Aethomys ineptus,592270.5127217852,592259.543604944,133.16,LC,Herbivore,RODENTIA
60,Aethomys kaiseri,1693323.9318944523,1693329.17536174,89.99,LC,Herbivore,RODENTIA
61,Aethomys nyikae,897954.686747013,897965.4059156241,77.015,LC,Herbivore,RODENTIA
62,Aethomys silindensis,19128.847748579785,19129.1179447362,83.48586401,DD,Herbivore,RODENTIA
63,Aethomys stannarius,170066.63521630547,170085.39127142,83.48586401,DD,Herbivore,RODENTIA
64,Aethomys thomasi,270707.1098240113,270711.031656793,63.85388804,LC,Herbivore,RODENTIA
65,Ailuropoda melanoleuca,25709.592302001693,25709.6001269284,118000.0,VU,Herbivore,CARNIVORA
66,Ailurops melanotis,274.5137560229642,274.513647625347,8500.0,CR,Herbivore,DIPROTODONTIA
67,Ailurops ursinus,179858.76183609685,179858.765036463,10000.0,VU,Herbivore,DIPROTODONTIA
68,Ailurus fulgens,338845.69439389266,338831.02202534303,5170.08,EN,Herbivore,CARNIVORA
69,Akodon aerosus,114173.5495336058,114165.459188906,59.99,LC,Omnivore,RODENTIA
70,Akodon affinis,42194.8380606911,42197.0440092043,24.89,LC,Omnivore,RODENTIA
71,Akodon albiventer,402031.1976150722,402049.085753842,25.95,LC,Insectivore,RODENTIA
72,Akodon azarae,1227619.5154205877,1227616.00374134,25.27,LC,Omnivore,RODENTIA
73,Akodon boliviensis,217523.12850831196,217532.52412288397,27.5,LC,Omnivore,RODENTIA
74,Akodon budini,19875.90049703783,19876.490779188898,26.9,LC,Omnivore,RODENTIA
75,Akodon cursor,824312.2802399348,824145.08743386,39.84,LC,Omnivore,RODENTIA
76,Akodon dayi,289349.5402973435,289331.634415262,32.49,LC,Omnivore,RODENTIA
77,Akodon dolores,809710.8017096366,809586.618166668,50.49,LC,Omnivore,RODENTIA
78,Akodon fumeus,151083.67990943568,151082.142480622,22.69,LC,Omnivore,RODENTIA
79,Akodon iniscatus,573428.4664925971,573428.042370265,28.7,LC,Omnivore,RODENTIA
80,Akodon juninensis,115443.54254350702,115454.096357999,38.99,LC,Omnivore,RODENTIA
81,Akodon kofordi,13610.447203214799,13610.9940920856,29.49,LC,Omnivore,RODENTIA
82,Akodon lindberghi,165514.29886197622,6823.733578590711,26.4,DD,Omnivore,RODENTIA
83,Akodon lutescens,118596.70725624384,118603.69013515301,20.69,LC,Omnivore,RODENTIA
84,Akodon mimus,57422.78092439663,57439.277643950096,23.99,LC,Omnivore,RODENTIA
85,Akodon molinae,429206.14795630536,429193.487575575,32.99,LC,Omnivore,RODENTIA
