,binomial,Range_km_2,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
0,Abditomys latidens,788.2308663634993,788.2272681653461,268.09,DD,Herbivore,RODENTIA
1,Abeomelomys sevia,9683.962814806431,9683.63706408965,54.88,LC,Omnivore,RODENTIA
2,Abrawayaomys ruschii,50733.600262333166,50734.679053465705,62.99,LC,Omnivore,RODENTIA
3,Abrocoma bennettii,124892.43688644722,124896.017428642,250.5,LC,Herbivore,RODENTIA
4,Abrocoma boliviensis,64.73989334432855,64.7392120057018,158.0,CR,Herbivore,RODENTIA
5,Abrocoma budini,405.49613619900475,405.507488549637,116.305,DD,Herbivore,RODENTIA
6,Abrocoma cinerea,529161.1856074085,529152.754277995,193.64,LC,Herbivore,RODENTIA
7,Abrocoma famatina,3306.522713386348,3306.51957824229,89.495,DD,Herbivore,RODENTIA
8,Abrocoma shistacea,5496.500116973904,5496.616435471779,109.39,LC,Herbivore,RODENTIA
9,Abrocoma uspallata,14.317782534039926,14.3178131219349,164.2793,DD,Herbivore,RODENTIA
10,Abrocoma vaccarum,37.17566223163419,37.1757022090819,232.625,DD,Herbivore,RODENTIA
11,Abrothrix andinus,612703.7001751438,612688.887487066,24.91,LC,Omnivore,RODENTIA
12,Abrothrix jelskii,498019.6169246543,498022.438234006,34.5,LC,Omnivore,RODENTIA
13,Abrothrix lanosus,40594.08952941364,40587.893976483596,27.83,LC,Omnivore,RODENTIA
14,Abrothrix longipilis,717944.2633781857,717949.8986482159,38.86,LC,Omnivore,RODENTIA
15,Abrothrix olivaceus,1083350.9044978558,1083345.05578333,24.52,LC,Omnivore,RODENTIA
16,Abrothrix sanborni,4530.831253056128,4530.17208996264,24.7,NT,Omnivore,RODENTIA
17,Acerodon celebensis,177574.27757365795,177574.28071762898,384.84,VU,Herbivore,CHIROPTERA
18,Acerodon humilis,929.1571722492145,929.1571817806309,646.6033332999999,EN,Herbivore,CHIROPTERA
19,Acerodon jubatus,144168.86356591317,144169.519757211,1087.04,EN,Herbivore,CHIROPTERA
20,Acerodon leucotis,12751.181590599077,12751.1806583774,646.6033332999999,VU,Herbivore,CHIROPTERA
21,Acerodon mackloti,74622.80350902828,74622.81066141231,467.93,VU,Herbivore,CHIROPTERA
22,Acinonyx jubatus,2943559.7712270133,2943299.89412248,50577.92,VU,Carnivore,CARNIVORA
23,Acomys airensis,1825633.2143523886,1825638.34243621,38.657,LC,Insectivore,RODENTIA
24,Acomys cahirinus,4017437.129250106,4017285.72683786,41.16,LC,Omnivore,RODENTIA
25,Acomys cilicicus,17.624404571164046,17.625137015363,48.0,DD,Omnivore,RODENTIA
26,Acomys cineraceus,1049532.7283924462,1049545.70368392,19.24,LC,Insectivore,RODENTIA
27,Acomys dimidiatus,1558104.767900596,1558726.49808071,50.0,LC,Omnivore,RODENTIA
28,Acomys ignitus,105257.22064635715,105257.33631525199,24.0,LC,Insectivore,RODENTIA
29,Acomys johannis,426072.95696060895,426085.26522580703,63.85388804,LC,Insectivore,RODENTIA
30,Acomys kempi,569641.443810637,569643.251882304,21.99,LC,Insectivore,RODENTIA
31,Acomys louisae,688439.4349491079,688440.046244099,20.19,LC,Insectivore,RODENTIA
32,Acomys minous,8344.72119110142,8344.71860138499,62.5,DD,Herbivore,RODENTIA
33,Acomys mullah,160421.31508957443,160420.649751978,63.85388804,LC,Insectivore,RODENTIA
34,Acomys percivali,222957.77752178386,222958.227225518,21.99,LC,Insectivore,RODENTIA
35,Acomys russatus,701749.3279237443,702023.859226838,42.35,LC,Insectivore,RODENTIA
36,Acomys seurati,298864.4710979497,298887.042163151,38.657,LC,Insectivore,RODENTIA
37,Acomys spinosissimus,101250.45922242347,1715735.10321923,26.5,LC,Insectivore,RODENTIA
38,Acomys subspinosus,94360.20690118514,94357.4614965139,21.92,LC,Omnivore,RODENTIA
39,Acomys wilsoni,1372807.8862353007,1372812.72982059,18.5,LC,Insectivore,RODENTIA
40,Aconaemys fuscus,31933.80993396222,31935.754233844,129.95,LC,Herbivore,RODENTIA
41,Aconaemys porteri,22673.186089782288,22675.333164299704,113.22,DD,Herbivore,RODENTIA
42,Aconaemys sagei,40512.90813936544,40513.5574383435,96.49,DD,Herbivore,RODENTIA
43,Acrobates pygmaeus,1200802.0298793516,1200801.29315193,13.84,LC,Omnivore,DIPROTODONTIA
44,Addax nasomaculatus,33786.27586725125,33784.5177430542,96077.36,CR,Herbivore,CETARTIODACTYLA
45,Aegialomys galapagoensis,23.180554203636277,23.1805510992547,64.5,VU,Omnivore,RODENTIA
46,Aegialomys xanthaeolus,258914.4626372336,258878.32109344102,79.79,LC,Omnivore,RODENTIA
47,Aepeomys lugens,9497.293935660964,9497.26518171979,37.0,LC,Omnivore,RODENTIA
48,Aepeomys reigi,13016.593865853461,13016.4990417747,37.0,VU,Omnivore,RODENTIA
49,Aepyceros melampus,3362497.3391556162,3359993.74112893,52591.69,LC,Herbivore,CETARTIODACTYLA
50,Aepyprymnus rufescens,566491.8472176606,566664.642591369,2810.31,LC,Herbivore,DIPROTODONTIA
51,Aeretes melanopterus,56078.30334233488,56180.81975504231,246.43442569999996,NT,Herbivore,RODENTIA
52,Aeromys tephromelas,362180.6455835931,362180.499277985,1187.0,DD,Omnivore,RODENTIA
53,Aeromys thomasi,446207.0237670976,446207.386884844,1430.19,LC,Herbivore,RODENTIA
54,Aethalops aequalis,93009.55009681547,93008.85221810211,15.0,LC,Herbivore,CHIROPTERA
55,Aethalops alecto,158326.4536503261,158099.135529788,15.0,LC,Herbivore,CHIROPTERA
