,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,4308.95447746281,26.1468408203125,441.66296875,168.53595703125,124.85708984375,-inf,Saccolaimus_mixtus
2,2,4870.12178115478,25.95401664402174,572.9296025815217,175.34835682744566,117.26634680706522,506030555136.0,Saccolaimus_mixtus
3,3,3955.326493796991,26.145632789248513,476.08412388392856,142.12366303943452,121.97807384672619,-inf,Saccolaimus_mixtus
4,4,3752.2948879872356,26.047741117931547,638.330078125,159.85076032366072,112.38162667410714,441204080640.0,Saccolaimus_mixtus
5,5,9572.313502805171,26.455639309353298,680.2787543402778,127.88416883680556,118.2943115234375,-inf,Saccolaimus_mixtus
6,6,1054.7218340313666,26.275028228759766,687.349853515625,134.09458923339844,110.83970642089844,-inf,Saccolaimus_mixtus
7,7,6523.804207066815,26.732345581054688,667.6563110351562,114.5751724243164,113.7076644897461,-inf,Saccolaimus_mixtus
8,8,62.30953620820772,26.68736521402995,695.6142578125,118.39456176757812,108.30379231770833,-inf,Saccolaimus_mixtus
9,9,1858.8364251990245,26.851994267216437,527.5449580439815,97.30561885127315,64.1975685402199,-inf,Saccolaimus_mixtus
