,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
83,83,66.675627763886,20.97827911376953,1029.1451416015625,252.82015991210938,68.74386596679688,976757719040.0,Brachyuromys_ramirohitra
84,84,332.43975106884875,21.232765197753906,1044.5584716796875,250.48934936523438,66.08839416503906,970278174720.0,Brachyuromys_ramirohitra
85,85,400.0,16.653894424438477,794.8283081054688,267.5372314453125,85.2378158569336,689867718656.0,Brachyuromys_ramirohitra
86,86,400.0,18.532113393147785,900.2618001302084,262.91099039713544,77.04890950520833,883088621568.0,Brachyuromys_ramirohitra
87,87,132.8185967621766,20.431386947631836,1001.9676513671875,255.2135009765625,69.52687072753906,967313981440.0,Brachyuromys_ramirohitra
88,88,234.94781421470825,21.124093373616535,1029.2802734375,251.06343587239584,65.4524434407552,958466359296.0,Brachyuromys_ramirohitra
89,89,400.0,16.93533706665039,808.5184936523438,269.82635498046875,83.67185974121094,707319234560.0,Brachyuromys_ramirohitra
90,90,400.0,17.7157465616862,859.8849283854166,267.2491861979167,78.8467305501302,786506776576.0,Brachyuromys_ramirohitra
91,91,198.96156576046718,19.241531372070312,946.383056640625,261.067626953125,71.34672546386719,929185464320.0,Brachyuromys_ramirohitra
92,92,4.059651677851426,20.563751220703125,1001.9227294921875,254.7816925048828,66.17389678955078,943993978880.0,Brachyuromys_ramirohitra
93,93,285.47720909174524,17.203767776489258,844.080078125,270.5252380371094,78.86756896972656,734810865664.0,Brachyuromys_ramirohitra
94,94,400.0,18.491575241088867,908.7507934570312,265.73919677734375,73.42837524414062,900500684800.0,Brachyuromys_ramirohitra
95,95,265.1045347587485,20.080272674560547,974.3389892578125,259.64471435546875,68.36215209960938,941333479424.0,Brachyuromys_ramirohitra
96,96,128.51759454181416,16.564796447753906,825.166015625,271.9624938964844,80.89124298095703,796712239104.0,Brachyuromys_ramirohitra
97,97,400.0,18.194496154785156,889.3226928710938,266.92852783203125,75.4559555053711,868485431296.0,Brachyuromys_ramirohitra
98,98,334.5632832400615,20.128955841064453,957.9660034179688,261.09246826171875,70.6994857788086,940258754560.0,Brachyuromys_ramirohitra
99,99,28.681447835451895,20.896621704101562,984.2559204101562,258.5906066894531,68.58456420898438,932866250069.3334,Brachyuromys_ramirohitra
100,100,396.6624670596956,17.701519012451172,860.647216796875,266.9560852050781,77.69021606445312,836470243328.0,Brachyuromys_ramirohitra
101,101,398.1964839933016,19.690532684326172,933.6922607421875,261.7513732910156,72.77880859375,939184029696.0,Brachyuromys_ramirohitra
102,102,35.07079639448423,20.90871810913086,981.499755859375,257.8730875651042,69.0707295735677,928632668160.0,Brachyuromys_ramirohitra
103,103,320.01218749139537,17.22008514404297,828.9110717773438,266.2633056640625,80.51446533203125,802169552896.0,Brachyuromys_ramirohitra
104,104,400.0,19.03669548034668,911.1944580078125,262.3417053222656,74.73399353027344,937820684288.0,Brachyuromys_ramirohitra
105,105,138.82803939459845,20.809316635131836,987.886962890625,257.67547607421875,69.10845947265625,920842797056.0,Brachyuromys_ramirohitra
106,106,211.75118709459693,16.946279525756836,806.0802001953125,263.8359069824219,83.9556655883789,739932700672.0,Brachyuromys_ramirohitra
107,107,400.0,18.659473419189453,894.9100341796875,261.843505859375,77.19570922851562,924600107008.0,Brachyuromys_ramirohitra
108,108,244.38879840141158,20.52292823791504,992.3470458984375,258.55010986328125,70.25679016113281,918156869632.0,Brachyuromys_ramirohitra
109,109,97.65037181278143,20.942716598510742,1035.9072265625,257.96563720703125,67.4542465209961,933778817024.0,Brachyuromys_ramirohitra
110,110,400.0,17.051382064819336,798.96044921875,261.9756164550781,85.60765075683594,912742875136.0,Brachyuromys_ramirohitra
111,111,349.9142575694745,18.08428382873535,858.2880859375,261.77044677734375,81.18191528320312,912742875136.0,Brachyuromys_ramirohitra
112,112,0.0352998387446523,19.804903030395508,966.075439453125,260.704345703125,72.9338607788086,923260813312.0,Brachyuromys_ramirohitra
113,113,4.1847145458233275,20.733091354370117,1054.91357421875,257.5881042480469,66.02072143554688,950135291904.0,Brachyuromys_ramirohitra
114,114,397.73482828193926,16.92278289794922,772.2166748046875,258.8909912109375,92.8241195678711,714688757760.0,Brachyuromys_ramirohitra
115,115,400.0,17.785388946533203,826.9273681640625,262.4179382324219,85.49466705322266,912362831872.0,Brachyuromys_ramirohitra
116,116,94.23561539946381,19.104312896728516,912.118896484375,263.9163513183594,77.24909210205078,936117534720.0,Brachyuromys_ramirohitra
117,117,118.78984090040554,20.138877868652344,1028.8740234375,259.546728515625,67.86571655273437,967409336320.0,Brachyuromys_ramirohitra
118,118,400.0,21.006895065307617,1146.7686767578125,250.0523681640625,60.54729461669922,983401562112.0,Brachyuromys_ramirohitra
