Binomial,Range_km_2_old,AdultBodyMassG,RedListStatus,TrophicLevel,total_pop,pop_density,label
Phascolarctos cinereus,1084790.32837671,6528.74,VU,Herbivore,423964.621165493,0.390826328438896,Entire range
Philantomba maxwellii,872151.170574504,8557.69,LC,Omnivore,2137000,2.45026329391075,Entire range
Phyllonycteris aphylla,215.185973097491,14.15,CR,Herbivore,375,1.74267864490454,Entire range
Piliocolobus gordonorum,5829.77659778458,3977.86,EN,NA,15400,2.64161065894914,Entire range
Pipistrellus maderensis,4203.79249060137,5.93375,VU,Insectivore,47.4104418878373,0.011278016694172,Entire range
Poiana leightoni,48683.2941612329,570.08,VU,Omnivore,12278.0291578087,0.252202102781817,Entire range
Pongo abelii,17958.8009150854,39696.12,CR,Omnivore,13846,0.770986886344362,Entire range
Pongo pygmaeus,226358.938971497,53408.29,CR,Omnivore,104700,0.462539718889493,Entire range
Porcula salvania,881.678591612102,9200,CR,Omnivore,474.341649025257,0.537998374393949,Entire range
Potorous gilbertii,17.1013474332747,1569.46,CR,Herbivore,73.5,4.29790695071129,Entire range
Potorous longipes,4229.45169970166,1835.06,VU,Omnivore,4500,1.06396770066376,Entire range
Potorous tridactylus,125034.953503104,1054.67,NT,Omnivore,112500,0.899748405130628,Entire range
Presbytis chrysomelas,39860.9088891355,6630,CR,Herbivore,353.553390593274,0.008869677095839,Entire range
Presbytis potenziani,6004.4802735115,6449.53,EN,Herbivore,36000,5.99552306946738,Entire range
Prionailurus planiceps,150962.046127487,3533.76,EN,Carnivore,3748.5,0.024830744522596,Entire range
Procapra gutturosa,715733.666772446,28274.27,LC,Herbivore,1000000,1.39716775446576,Entire range
Procapra picticaudata,2394538.33096365,23197.67,NT,Herbivore,150000,0.062642555377109,Entire range
Procapra przewalskii,1076.30104095982,27499.99,EN,Herbivore,1469.08134560343,1.36493535701994,Entire range
Procyon pygmaeus,488.353606631937,2958.03,CR,Omnivore,464.75800154489,0.951683360649714,Entire range
Propithecus coquereli,30814.266153921,4189.27,EN,Herbivore,200000,6.49050017939663,Entire range
Propithecus perrieri,62.3003537979047,6500,CR,Herbivore,500,8.02563660588419,Entire range
Propithecus tattersalli,1721.74102599355,3531.39,CR,Herbivore,7745.96669241483,4.49891509551789,Entire range
Pseudantechinus bilarni,134277.932628743,23.05,LC,Insectivore,17320.5080756888,0.128989981723782,Entire range
Pseudantechinus mimulus,3092.03202720339,17,NT,Insectivore,106.066017177982,0.034303013760797,Entire range
Pseudochirulus cinereus,895.813812064428,977.48,NT,Herbivore,54942.6225222707,61.3326360704954,Entire range
Pseudois nayaur,2858794.5594924,52334.57,LC,Herbivore,209237.902876128,0.073190954621545,Entire range
Pseudomys australis,199918.689081993,52.97,VU,Omnivore,15000,0.075030503995792,Entire range
Pseudomys calabyi,20211.8515320354,13,VU,Omnivore,22500,1.11320825627172,Entire range
Pseudomys fieldi,42.0178268445805,42.35,VU,Omnivore,15000,356.991332642772,Entire range
Pseudomys fumeus,16696.3417503876,68.75,VU,Herbivore,106.066017177982,0.006352650105256,Entire range
Pseudomys novaehollandiae,89951.8843649047,16.8,VU,Omnivore,12000,0.133404653884959,Entire range
Pseudomys oralis,26516.21539562,95,VU,Omnivore,7500,0.282845794096199,Entire range
Pseudomys shortridgei,31488.7223962398,72.06,NT,Omnivore,16500,0.523997124823659,Entire range
Pseudoryx nghetinhensis,13994.9856889855,97842.2,CR,Herbivore,195,0.013933561943795,Entire range
Pteralopex taki,3316.80112381638,452.2333333,VU,Herbivore,821.583836257749,0.247703677606216,Entire range
Pteropus aldabrensis,158.455861341694,310.29,VU,Herbivore,400,2.52436228368631,Entire range
Pteropus dasymallus,2890.66561970342,491.86,VU,Herbivore,6363.96103067892,2.20155558197418,Entire range
Pteropus livingstonii,265.681962487188,734.27,CR,Herbivore,1300,4.89306834318001,Entire range
Pteropus mariannus,1025.73543852882,458.58,EN,Herbivore,10048.8805346665,9.79675670471059,Entire range
Pteropus niger,8827.27722668963,474.43,VU,Herbivore,62500,7.08032594819031,Entire range
Pteropus pselaphon,71.8101639935578,452.5545,EN,Herbivore,346.410161513775,4.82397117969055,Entire range
Pteropus rodricensis,110.931389438466,256.17,EN,Herbivore,30000,270.437431207343,Entire range
Pteropus rufus,185368.314810847,452.5545,VU,Herbivore,450000,2.42759934705771,Entire range
Pteropus seychellensis,2730.91008877769,492.2,LC,Herbivore,10000,3.6617829496085,Entire range
Pygathrix cinerea,24681.1347040006,10050,CR,Herbivore,620.483682299543,0.025139998210818,Entire range
Rangifer tarandus,18660769.8067974,109088.5,VU,Herbivore,2890410,0.154892323839027,Entire range
Raphicerus melanotis,160973.791424353,10503.14,LC,Herbivore,231448,1.43779927124823,Entire range
Raphicerus sharpei,2462567.73168791,9396.9,LC,Herbivore,95000,0.038577619115834,Entire range
Redunca arundinum,4763442.97755547,58059.24,LC,Herbivore,73000,0.015325049621453,Entire range
Reithrodontomys spectabilis,488.275018314581,20.19,CR,Herbivore,152,0.311299972963333,Entire range
Rhinoceros sondaicus,246.042298264833,1750000,CR,Herbivore,82.6498638837354,0.335917297418403,Entire range
Rhinoceros unicornis,551653.739601,1843656,VU,Herbivore,2575,0.004667783094994,Entire range
Rhinopithecus brelichi,502.964472187622,12267.15,EN,Herbivore,750,1.49115900122708,Entire range
Rhinopithecus strykeri,203.43462933845,11452.67,CR,NA,439.374555476304,2.15978251542084,Entire range
Rhinopoma hadramauticum,231.429906136555,9.13,EN,NA,225,0.972216615199416,Entire range
Rhynchocyon chrysopygus,3574.33027384571,535.2,EN,Insectivore,14142.135623731,3.95658334295872,Entire range
Rhynchocyon udzungwensis,320.401942372929,711,VU,Carnivore,18973.6659610103,59.218323773225,Entire range
Romerolagus diazi,452.983991848991,465.58,EN,Herbivore,5480.27006633797,12.0981539413095,Entire range
Rucervus duvaucelii,34612.8495398717,171223.9,VU,Herbivore,4224.92603485553,0.12206235808435,Entire range
Rucervus eldii,83737.1257505429,95471.61,EN,Herbivore,7000,0.083594939965498,Entire range
Rungwecebus kipunji,71.0605736944011,13,CR,Herbivore,1117,15.7189837054188,Entire range
Rupicapra pyrenaica,15121.5424709569,29999.99,LC,Herbivore,75000,4.95981148378535,Entire range
Rupicapra rupicapra,276838.179630046,33266.35,LC,Herbivore,682500,2.46533914112591,Entire range
Rusa alfredi,1689.089830648,46475.04,EN,Herbivore,1050,0.621636564822119,Entire range
Rusa timorensis,11319.645284778,66375.5,VU,Herbivore,14998.5,1.32499734953436,Entire range
Saguinus oedipus,52110.7113012753,462.04,CR,Omnivore,6000,0.115139476130182,Entire range
Saiga tatarica,765808.632666604,37734.01,CR,Herbivore,50000,0.065290462743801,Entire range
Saimiri oerstedii,7301.9925584523,714.18,VU,Omnivore,1529.70585407784,0.209491565738061,Entire range
Santamartamys rufodorsalis,89.5228536773288,148,CR,Herbivore,10.6066017177982,0.11847926291568,Entire range
Sapajus flavius,38931.4359769224,2920,CR,NA,1000,0.025686183283678,Entire range
Sarcophilus harrisii,64284.1346932456,8202.25,EN,Carnivore,23717.0824512628,0.368941459108647,Entire range
Semnopithecus ajax,1520.50350883821,17200,EN,Herbivore,500,0.32883843877614,Entire range
Setonix brachyurus,18067.2360033503,3027.67,VU,Herbivore,17404.3636769634,0.963310806021244,Entire range
Simias concolor,6004.4802735115,7393.9,CR,Herbivore,10766.1506584294,1.79301957338819,Entire range
Sminthopsis leucopus,96976.2979529158,23.36,LC,Carnivore,13416.4078649988,0.138347288442716,Entire range
Sminthopsis psammophila,7619.6092651609,33.5,VU,Carnivore,10606.6017177982,1.39201386169429,Entire range
Spalax giganteus,25404.1760308064,211.245,LC,Herbivore,1000,0.039363606943494,Entire range
Speothos venaticus,11389114.4507876,6324.54,NT,Carnivore,110000,0.009658345297636,Entire range
Sylvicapra grimmia,13576011.1674445,15639.15,LC,Herbivore,4074309.75749268,0.300110960962006,Entire range
Syncerus caffer,8442678.02487984,592666,LC,Herbivore,570996.497362286,0.067632153645989,Entire range
Tapirus bairdii,285333.149045284,293781.6,EN,Herbivore,4500,0.015771038223413,Entire range
Tapirus indicus,89491.8626631381,311209.2,EN,Herbivore,3750,0.04190325118291,Entire range
Tapirus pinchaque,49536.8681523535,156923.4,EN,Herbivore,3750,0.075701192664556,Entire range
Tarsius sangirensis,556.365213370491,165,EN,Insectivore,8908.68508815975,16.0122970920314,Entire range
Tarsius tumpara,230.363062854782,122.6825,CR,NA,4115.126,17.8636537863456,Entire range
Tetracerus quadricornis,2063086.53720503,19282.12,VU,Herbivore,12549.9003980111,0.006083070279259,Entire range
Theropithecus gelada,103851.677171732,15964.11,LC,Herbivore,200000,1.92582349603536,Entire range
Trachypithecus delacouri,6008.39808695761,9000,CR,Herbivore,223.606797749979,0.037215709497572,Entire range
Trachypithecus francoisi,248808.27640877,8139.93,EN,Herbivore,2021.13829314077,0.008123275971014,Entire range
Trachypithecus geei,5685.95383432145,8356,EN,Herbivore,5500,0.967295929629432,Entire range
Trachypithecus poliocephalus,944.695857103232,9000,CR,Herbivore,1218.69438334638,1.29003887778583,Entire range
Tragelaphus angasii,197902.360279171,87616.76,LC,Herbivore,36500,0.184434384453583,Entire range
Tragelaphus buxtoni,6875.03781304169,215000.8,EN,Herbivore,4000,0.58181498178994,Entire range
Tragelaphus derbianus,392963.147827154,663012.125,VU,Herbivore,12961.4813968157,0.03298396164751,Entire range
Tragelaphus eurycerus,2217282.32760896,270998.4,NT,Herbivore,28000,0.012628071604302,Entire range
Tragelaphus imberbis,1488947.7052956,94320.39,NT,Herbivore,118000,0.079250600662683,Entire range
Tragelaphus oryx,6776785.92711146,492500,LC,Herbivore,136000,0.020068510568692,Entire range
Tragelaphus scriptus,12064054.1738248,43250.39,LC,Herbivore,1340000,0.111073771776273,Entire range
Tragelaphus spekii,4392198.82527894,75554.25,LC,Herbivore,155884.572681199,0.035491237733597,Entire range
Tragelaphus strepsiceros,6084589.46386677,206056.4,LC,Herbivore,482000,0.079216519514151,Entire range
Tremarctos ornatus,218254.953210886,123177,VU,Herbivore,15297.0585407784,0.070088024650684,Entire range
Urocyon littoralis,911.163482397,1923,NT,Omnivore,5500,6.03623839876806,Entire range
Uromys hadrourus,635.188032028075,149.11,NT,Omnivore,30000,47.2301090186064,Entire range
Ursus americanus,10469239.7693689,110500,LC,Omnivore,898610,0.085833357511705,Entire range
Ursus arctos,24948801.9605531,196287.5,LC,Omnivore,220000,0.008818058692672,Entire range
Ursus maritimus,22605612.3738671,371703.8,VU,Omnivore,26000,0.001150156853528,Entire range
Vicugna vicugna,743523.486604444,47499.61,LC,Herbivore,525000,0.706097399017741,Entire range
Vulpes pallida,4152381.02216173,2800.01,LC,Omnivore,47433.9277311082,0.011423308091899,Entire range
Wyulda squamicaudata,82875.6353206454,1799.21,NT,Omnivore,10606.6017177982,0.12798214670405,Entire range
Xeromys myoides,12793.2332191969,45.2,VU,Omnivore,23717.0824512628,1.8538771274547,Entire range
Zyzomys maini,21158.5453105801,93.99,VU,Herbivore,30000,1.41786685046816,Entire range
Zyzomys palatalis,2582.42960257045,123,CR,NotAssigned,1500,0.580848360205815,Entire range
Zyzomys pedunculatus,7110.09577105446,100,CR,Herbivore,1200,0.168774097936241,Entire range
