Binomial,Range_km_2_old,AdultBodyMassG,RedListStatus,TrophicLevel,total_pop,pop_density,label
Cephalophus callipygus,745835.020891764,19079.23,LC,Omnivore,382000,0.512177612071982,Entire range
Cephalophus dorsalis,3569429.30901229,20000,NT,Omnivore,725000,0.203113701725226,Entire range
Cephalophus jentinki,59693.1003357468,68489.54,EN,Omnivore,3000,0.050257064604223,Entire range
Cephalophus leucogaster,1003258.28025858,13208.69,NT,Omnivore,287000,0.286067910574362,Entire range
Cephalophus natalensis,897289.182924264,12724.51,LC,Omnivore,42000,0.046807652203186,Entire range
Cephalophus niger,761614.567579489,19094.32,LC,Omnivore,100000,0.131300009554456,Entire range
Cephalophus nigrifrons,3191995.27028307,14676.33,LC,Omnivore,300000,0.093985101667583,Entire range
Cephalophus ogilbyi,437958.932601986,18386.42,LC,Omnivore,35000,0.079916168833592,Entire range
Cephalophus rufilatus,2928977.47840118,12114.57,LC,Omnivore,170000,0.058040733072757,Entire range
Cephalophus silvicultor,6159623.64753685,62006.6,NT,Omnivore,160000,0.025975612984729,Entire range
Cephalophus spadix,6572.388585527,56857.02,EN,Herbivore,2250,0.34234129201592,Entire range
Cephalophus weynsi,1484365.37367421,17000,LC,Omnivore,188000,0.126653452939722,Entire range
Cephalophus zebra,58893.254838263,15654.75,VU,Omnivore,15000,0.254698098130153,Entire range
Ceratotherium simum,1220052.10931979,2285939,NT,Herbivore,20170,0.016532080757801,Entire range
Cercopithecus dryas,1361.544808615,2784.06,CR,Herbivore,200,0.146891970601721,Entire range
Cervus albirostris,747331.83001759,109666.7,VU,NA,7000,0.009366655773026,Entire range
Cervus canadensis,10322896.2906743,240867.1,LC,NA,1000000,0.096872037831417,Entire range
Cervus elaphus,3693145.60233818,240867.1,LC,Herbivore,2435500,0.659464928341318,Entire range
Cervus hanglu,47592.6185372994,240867.1,LC,NA,2700,0.056731486583029,Entire range
Chalinolobus neocaledonicus,16389.2142206608,10.17,EN,Insectivore,1500,0.091523606916374,Entire range
Chinchilla lanigera,24492.7967208623,480.28,EN,Herbivore,8025,0.327647352462796,Entire range
Choeropsis liberiensis,139545.002305839,227500,EN,Herbivore,3353.43107876097,0.024031180073445,Entire range
Chrysocyon brachyurus,4335910.27706432,23325,NT,Omnivore,25500,0.005881118005344,Entire range
Coleura seychellensis,227.694579837436,10.64,CR,Insectivore,106.066017177982,0.465825832365921,Entire range
Conilurus penicillatus,16145.2314108027,175.02,VU,Omnivore,75000,4.64533447007874,Entire range
Connochaetes gnou,403590.64805815,156547.5,LC,Herbivore,12094.5,0.029967245421052,Entire range
Connochaetes taurinus,3087760.39030925,198619.7,LC,Herbivore,1550000,0.501981955874745,Entire range
Crocuta crocuta,14471905.1423697,63369.98,LC,Carnivore,35623.0262611138,0.002461529833886,Entire range
Cryptoprocta ferox,442881.074197477,9500,VU,Carnivore,7151.32138139519,0.016147272480211,Entire range
Cuon alpinus,3444017.91678751,15800,EN,Carnivore,6873.86354243375,0.001995884954294,Entire range
Cynogale bennettii,1090109.40684715,4246.57,EN,Omnivore,3735,0.00342626159956,Entire range
Cynomys ludovicianus,1820824.73589671,797.05,LC,Herbivore,11052000,6.0697769434449,Entire range
Cynomys parvidens,8276.42211218784,899.98,EN,Omnivore,12000,1.44990188240023,Entire range
Damaliscus lunatus,1840650.54845633,136000.3,LC,Herbivore,300000,0.162985853154797,Entire range
Damaliscus pygargus,395523.694509825,77784.55,LC,Herbivore,240987.032846168,0.609285957304846,Entire range
Dasycercus cristicauda,114850.907654436,99.54,NT,Carnivore,27000,0.235087388958542,Entire range
Dasyuroides byrnei,71511.1830036305,109.47,VU,Carnivore,7500,0.104878701274166,Entire range
Dasyurus geoffroii,188679.587142825,1106.62,NT,Insectivore,20124.6117974981,0.106660249273623,Entire range
Dasyurus maculatus,464968.773942875,3284.15,NT,Omnivore,21000,0.045164323233844,Entire range
Dasyurus viverrinus,63883.697019599,1101.49,EN,Omnivore,16431.6767251549,0.257212363901134,Entire range
Dendrolagus lumholtzi,7383.08232116359,6649.97,NT,Herbivore,25980.7621135332,3.51895874695307,Entire range
Dendrolagus matschiei,12712.4964374169,8293.4,EN,Herbivore,3750,0.294985333404897,Entire range
Dicerorhinus sumatrensis,8510.94988941654,1046156,CR,Herbivore,234.520787991172,0.027555183738398,Entire range
Diceros bicornis,5299790.75394198,995940.5,CR,Herbivore,4880,0.00092079107017,Entire range
Diplogale hosei,100926.109775774,1450,VU,Insectivore,14000,0.138715343642032,Entire range
Dipodomys gravipes,5681.97734158051,83.96,CR,Omnivore,10.5,0.001847948235056,Entire range
Dorcatragus megalotis,50718.4823485249,10918.12,VU,Herbivore,10500,0.207025122081662,Entire range
Elaphodus cephalophus,1933559.5319406,23087.87,NT,Herbivore,387298.334620741,0.200303289463259,Entire range
Elephas maximus,598732.115858361,3269794,EN,Herbivore,46557.56,0.077760251649861,Entire range
Enhydra lutris,2026050.49637606,27410.93,EN,Insectivore,125831,0.062106546813651,Entire range
Equus africanus,67426.8566978906,250000,CR,Herbivore,204.939015319192,0.00303942709709,Entire range
Equus grevyi,90832.5233724173,408000.3,EN,Herbivore,2680,0.02950485025074,Entire range
Equus hemionus,348637.934789146,235248.1,NT,Herbivore,55000,0.157756785799181,Entire range
Equus kiang,1785558.5758826,281138.6,LC,Herbivore,97211.1104761179,0.054442969157742,Entire range
Equus quagga,2314214.44194438,400000,NT,Herbivore,500000,0.21605603652698,Entire range
Eudorcas albonotata,128521.800814602,25000,LC,Herbivore,278000,2.16305714857689,Entire range
Eudorcas rufifrons,2197974.49583682,26999.77,VU,Herbivore,12000,0.005459571993546,Entire range
Eudorcas thomsonii,157281.76645321,22907.43,NT,Herbivore,550000,3.49690884329952,Entire range
Eudorcas tilonura,93843.8522145892,22907.43,EN,NA,2958.03989154981,0.031520870272735,Entire range
Eulemur cinereiceps,1817.01881439238,2250,CR,Herbivore,7265,3.99830752574207,Entire range
Eumops floridanus,999.178864966073,38.47,VU,Insectivore,5809.47501931113,5.8142493031099,Entire range
Eupetaurus cinereus,32782.5593683105,2500,EN,Herbivore,1732.05080756888,0.052834520578744,Entire range
Felis bieti,620424.636016717,5486.95,VU,NA,14998.5,0.024174571945263,Entire range
Felis margarita,1897612.63351096,2823.36,LC,Carnivore,40896,0.021551289909118,Entire range
Felis nigripes,1948153.23478158,1362.77,VU,Carnivore,13867,0.007118023239868,Entire range
Galidictis grandidieri,995.714670690228,1400,EN,Carnivore,236.631174558168,0.237649581274258,Entire range
Gazella arabica,217985.237080953,24124.67,VU,Herbivore,8874.11967464943,0.040709727839752,Entire range
Gazella bennettii,2764527.78369678,18916.67,LC,Herbivore,88741.1967464942,0.032099947509961,Entire range
Gazella gazella,14514.1669062934,21306.83,EN,Herbivore,3000,0.206694605303125,Entire range
Gazella leptoceros,604286.089863442,24645.75,EN,Herbivore,636.396103067892,0.001053137104665,Entire range
Gazella marica,2613934.18599837,26981.37,VU,NA,2909.57471119062,0.001113101747847,Entire range
Gazella subgutturosa,7107800.19542307,26981.37,VU,Herbivore,68047.7773332825,0.009573676167361,Entire range
Genetta bourloni,146864.613721211,1865.378167,VU,Carnivore,14775,0.100602858821029,Entire range
Genetta cristata,100907.24447825,1863.23,VU,Carnivore,10500,0.104055958066155,Entire range
Genetta piscivora,223601.457153828,1648.05,NT,Insectivore,15000,0.067083641542106,Entire range
Geocapromys ingrahami,8.3227229598518,733.52,VU,Herbivore,13000,1561.98879413757,Entire range
Giraffa camelopardalis,1821654.57511861,964654.7,VU,Herbivore,97562,0.05355680562746,Entire range
Gorilla beringei,47439.3459481711,149325.2,CR,Herbivore,3800,0.080102284802822,Entire range
Gorilla gorilla,696516.80102864,112589,CR,Herbivore,320000,0.45942897504757,Entire range
Gymnobelideus leadbeateri,3023.86145686265,137.32,CR,Omnivore,3750,1.24013618133509,Entire range
Hapalemur alaotrensis,216.327761671371,1616.83,CR,Herbivore,2500,11.5565380082738,Entire range
Hapalemur aureus,2392.79460469491,1562.41,CR,Herbivore,630,0.263290463278325,Entire range
Hippocamelus antisensis,424712.964288433,68599.35,VU,Herbivore,18186.5334794732,0.042820763689055,Entire range
Hippocamelus bisulcus,127327.18996061,69240.81,EN,Herbivore,1880.6913622389,0.014770540077266,Entire range
Hippopotamus amphibius,1233077.31328872,1536310,VU,Herbivore,122270.192606375,0.099158577721514,Entire range
