,Binomial,Range_m,pop_density,label,AdultBodyMassG,RedListStatus,TrophicLevel,MaturePop,Range
108,Damaliscus pygargus,395523.694509825,0.408221591394248,Entire range,77784.55,LC,Herbivore,161461.312006933,395523.694509825
109,Dasycercus cristicauda,114850.907654436,0.15672492597236098,Entire range,99.54,NT,Carnivore,18000.0,114850.907654436
110,Dasyuroides byrnei,71511.1830036305,0.069919134182778,Entire range,109.47,VU,Carnivore,5000.0,71511.1830036305
111,Dasyurus geoffroii,188679.587142825,0.071106832849082,Entire range,1106.62,NT,Insectivore,13416.4078649987,188679.587142825
112,Dasyurus maculatus,464968.773942875,0.030109548822562,Entire range,3284.15,NT,Omnivore,14000.0,464968.773942875
113,Dasyurus viverrinus,63883.69701959901,0.171474909267423,Entire range,1101.49,EN,Omnivore,10954.4511501033,63883.69701959901
114,Dendrolagus lumholtzi,7383.08232116359,2.34597249796871,Entire range,6649.97,NT,Herbivore,17320.5080756888,7383.08232116359
115,Dendrolagus matschiei,12712.4964374169,0.19665688893659805,Entire range,8293.4,EN,Herbivore,2499.99999999999,12712.4964374169
116,Dicerorhinus sumatrensis,8510.94988941654,0.018461973104727,Entire range,1046156.0,CR,Herbivore,157.12892795408501,8510.94988941654
117,Diceros bicornis,5299790.75394198,0.000616930017014,Entire range,995940.5,CR,Herbivore,3269.6,5299790.75394198
118,Diplogale hosei,100926.109775774,0.09412826889995098,Entire range,1450.0,VU,Insectivore,9499.99999999998,100926.109775774
121,Dipodomys gravipes,5681.97734158051,0.001231965490037,Entire range,83.96,CR,Omnivore,6.99999999999999,5681.97734158051
125,Dorcatragus megalotis,50718.4823485249,0.13801674805444197,Entire range,10918.12,VU,Herbivore,7000.000000000029,50718.4823485249
126,Elaphodus cephalophus,1933559.5319406001,0.13420320394038399,Entire range,23087.87,NT,Herbivore,259489.88419589802,1933559.5319406001
127,Elephas maximus,598732.115858361,0.052099368605407,Entire range,3269794.0,EN,Herbivore,31193.5652,598732.115858361
128,Enhydra lutris,2026050.49637606,0.041611386365146004,Entire range,27410.93,EN,Insectivore,84306.77000000009,2026050.49637606
129,Equus africanus,67426.8566978906,0.001005879602769,Entire range,250000.0,CR,Herbivore,67.8232998312527,67426.8566978906
130,Equus grevyi,90832.5233724173,0.021534136974046998,Entire range,408000.3,EN,Herbivore,1956.0,90832.5233724173
131,Equus hemionus,348637.934789146,0.080312545497765,Entire range,235248.1,NT,Herbivore,28000.0,348637.934789146
132,Equus kiang,1785558.5758826,0.036295312771827994,Entire range,281138.6,LC,Herbivore,64807.4069840786,1785558.5758826
133,Equus quagga,2314214.44194438,0.083678143131658,Entire range,400000.0,NT,Herbivore,193649.167310371,2314214.44194438
134,Eudorcas albonotata,128521.80081460199,1.4492482895465202,Entire range,25000.0,LC,Herbivore,186260.00000000102,128521.80081460199
135,Eudorcas rufifrons,2197974.49583682,0.003657913235676,Entire range,26999.77,VU,Herbivore,8040.00000000001,2197974.49583682
136,Eudorcas thomsonii,157281.76645321,2.34292892501068,Entire range,22907.43,NT,Herbivore,368500.0,157281.76645321
137,Eudorcas tilonura,93843.8522145892,0.022064609190914998,Entire range,22907.43,EN,NotAssigned,2070.6279240848603,93843.8522145892
138,Eulemur cinereiceps,1817.0188143923801,2.67886604224719,Entire range,2250.0,CR,Herbivore,4867.55,1817.0188143923801
139,Eumops floridanus,999.178864966073,3.87616620207326,Entire range,38.47,VU,Insectivore,3872.9833462074102,999.178864966073
140,Eupetaurus cinereus,32782.559368310496,0.035399128787758,Entire range,2500.0,EN,Herbivore,1160.4740410711502,32782.559368310496
142,Felis margarita,1897612.63351096,0.014367526606078998,Entire range,2823.36,LC,Carnivore,27264.0,1897612.63351096
143,Felis nigripes,1948153.23478158,0.004982667598572001,Entire range,1362.77,VU,Carnivore,9706.99999999999,1948153.23478158
145,Galidictis grandidieri,995.714670690228,0.15922521945375304,Entire range,1400.0,EN,Carnivore,158.542886953973,995.714670690228
146,Gazella arabica,217985.237080953,0.027139818559834997,Entire range,24124.67,VU,Herbivore,5916.079783099621,217985.237080953
147,Gazella bennettii,2764527.78369678,0.02139996500664,Entire range,18916.67,LC,Herbivore,59160.7978309962,2764527.78369678
149,Gazella gazella,14514.166906293402,0.138485385553094,Entire range,21306.83,EN,Herbivore,2010.0,14514.166906293402
150,Gazella leptoceros,604286.089863442,0.00070209140311,Entire range,24645.75,EN,Herbivore,424.264068711928,604286.089863442
151,Gazella marica,2613934.18599837,0.000742067831898,Entire range,26981.37,VU,NotAssigned,1939.7164741270801,2613934.18599837
152,Gazella subgutturosa,7107800.19542307,0.006382450778239999,Entire range,26981.37,VU,Herbivore,45365.184888855,7107800.19542307
153,Genetta bourloni,146864.613721211,0.06706857254735299,Entire range,1865.378167,VU,Carnivore,9850.0,146864.613721211
154,Genetta cristata,100907.24447825,0.06937063871077,Entire range,1863.23,VU,Carnivore,7000.000000000029,100907.24447825
155,Genetta piscivora,223601.457153828,0.044722427694738,Entire range,1648.05,NT,Insectivore,10000.0,223601.457153828
156,Geocapromys ingrahami,8.3227229598518,1046.53249207217,Entire range,733.52,VU,Herbivore,8709.99999999997,8.3227229598518
159,Giraffa camelopardalis,1821654.57511861,0.037489544358624,Entire range,964654.7,VU,Herbivore,68293.0,1821654.57511861
161,Gorilla beringei,47439.3459481711,0.05480682644403599,Entire range,149325.2,CR,Herbivore,2600.0,47439.3459481711
162,Gorilla gorilla,696516.80102864,0.307817413281872,Entire range,112589.0,CR,Herbivore,214400.0,696516.80102864
163,Gymnobelideus leadbeateri,3023.8614568626504,0.8267574542233922,Entire range,137.32,CR,Omnivore,2500.0,3023.8614568626504
164,Hapalemur alaotrensis,216.327761671371,7.74288046554345,Entire range,1616.83,CR,Herbivore,1675.0,216.327761671371
165,Hapalemur aureus,2392.7946046949105,0.10448034257076401,Entire range,1562.41,CR,Herbivore,250.0,2392.7946046949105
166,Hippocamelus antisensis,424712.96428843297,0.011518328022096002,Entire range,68599.35,VU,Herbivore,4891.98323791079,424712.96428843297
167,Hippocamelus bisulcus,127327.18996061,0.009847026718178001,Entire range,69240.81,EN,Herbivore,1253.7942414926,127327.18996061
168,Hippopotamus amphibius,1233077.31328872,0.066436247073414,Entire range,1536310.0,VU,Herbivore,81921.0290462713,1233077.31328872
169,Hipposideros halophyllus,23215.6525685156,0.21536116544620398,Entire range,4.0,VU,Insectivore,4999.74999374968,23215.6525685156
170,Hipposideros hypophyllus,6665.2179384479,0.02598640920018,Entire range,21.81,CR,Insectivore,173.205080756888,6665.2179384479
171,Hipposideros inornatus,6625.21017608947,0.08263113368125201,Entire range,25.9,VU,Insectivore,547.4486277268401,6625.21017608947
173,Hippotragus equinus,5571097.58610412,0.009831501764955,Entire range,264174.0,LC,Herbivore,54772.255750516604,5571097.58610412
174,Hippotragus niger,3013918.72337113,0.018173103118472,Entire range,236405.9,LC,Herbivore,54772.2557505167,3013918.72337113
175,Hoolock leuconedys,281215.43798184,0.05411002621643799,Entire range,6709.768932999999,VU,Omnivore,15216.5747216645,281215.43798184
176,Hyaena hyaena,23460487.003951397,0.00030138821280400004,Entire range,35070.51,NT,Omnivore,7070.714249635601,23460487.003951397
177,Hyemoschus aquaticus,2448578.76731065,0.07606861681830901,Entire range,10850.0,LC,Herbivore,186260.0,2448578.76731065
178,Hylobates klossii,6004.4802735115,3.7239992066658996,Entire range,5822.29,EN,Omnivore,22360.6797749979,6004.4802735115
179,Hylobates moloch,39231.9707802981,0.11399213106177801,Entire range,5860.81,EN,Herbivore,4472.13595499959,39231.9707802981
180,Hylobates pileatus,121613.228591164,0.386471114569314,Entire range,5542.37,EN,Omnivore,46999.999999999905,121613.228591164
181,Hypogeomys antimena,333.319306430515,108.004544907766,Entire range,1175.93,EN,Omnivore,36000.0,333.319306430515
183,Indri indri,30053.451169711403,0.070498593334536,Entire range,8565.48,CR,Herbivore,2118.7260323128103,30053.451169711403
184,Isoodon auratus,20997.7702244892,1.4287231300879601,Entire range,425.0,VU,Insectivore,30000.0,20997.7702244892
185,Isoodon obesulus,203133.138500773,0.155675124379391,Entire range,824.76,LC,Insectivore,31622.7766016839,203133.138500773
186,Kobus ellipsiprymnus,8949699.48919013,0.014972569767493999,Entire range,204393.5,LC,Herbivore,134000.0,8949699.48919013
187,Kobus kob,2985582.86824175,0.23684044703906398,Entire range,80035.21,LC,Herbivore,707106.781186547,2985582.86824175
188,Kobus leche,188733.152466513,0.56356023629114,Entire range,88645.04,NT,Herbivore,106362.5,188733.152466513
189,Kobus vardonii,338174.73817240197,0.25755915557357895,Entire range,71462.72,NT,Herbivore,87100.0,338174.73817240197
190,Lagorchestes hirsutus,89.1200060501315,44.8833003641173,Entire range,1407.14,VU,Herbivore,4000.0,89.1200060501315
191,Lagostrophus fasciatus,89.1199959555848,47.60593446653339,Entire range,1933.48,VU,Herbivore,4242.640687119289,89.1199959555848
192,Lama guanicoe,1658710.89204,0.738371513245032,Entire range,120000.0,LC,Herbivore,1224744.87139159,1658710.89204
193,Lasiorhinus krefftii,91.2146779997775,0.877051827121454,Entire range,31849.99,CR,Herbivore,80.0,91.2146779997775
194,Lasiorhinus latifrons,68207.8859651199,2.63899104118325,Entire range,26163.8,NT,Herbivore,180000.0,68207.8859651199
195,Leontopithecus caissara,334.964064224864,0.59707897461424,Entire range,604.01,CR,Omnivore,200.0,334.964064224864
196,Leontopithecus chrysomelas,20189.922608933997,0.31481933933346695,Entire range,572.8,EN,Omnivore,6356.17809693843,20189.922608933997
197,Leontopithecus chrysopygus,63670.7850537516,0.015705790326848,Entire range,656.12,EN,Omnivore,999.9999999999981,63670.7850537516
198,Leontopithecus rosalia,3990.5519677620205,0.25059190008765103,Entire range,592.52,EN,Omnivore,1000.0,3990.5519677620205
199,Leopardus guigna,317792.209873399,0.07384452433961701,Entire range,2200.0,VU,Carnivore,23467.214576936898,317792.209873399
200,Leopardus guttulus,2146503.74794624,0.002817139269282,Entire range,2250.0,VU,NotAssigned,6047.0,2146503.74794624
201,Leopardus jacobita,612427.861162025,0.002250060925356,Entire range,8133.78,EN,Carnivore,1378.0,612427.861162025
202,Leopardus tigrinus,9389953.0676865,0.0010169070688869999,Entire range,2250.0,VU,Carnivore,9548.7096510471,9389953.0676865
203,Lepilemur jamesorum,64.43733021844861,14.411211588870803,Entire range,726.98875,CR,Herbivore,928.620000000001,64.43733021844861
204,Lepilemur septentrionalis,141.553444664762,0.049953343266295996,Entire range,755.77,CR,Herbivore,7.071067811865491,141.553444664762
205,Leporillus conditor,4.71339184877658,734.948785562336,Entire range,328.82,NT,Herbivore,3464.10161513776,4.71339184877658
209,Liberiictis kuhni,74349.7153485591,0.06993974322056098,Entire range,1825.47,VU,Insectivore,5200.0,74349.7153485591
210,Litocranius walleri,1418356.35073576,0.044875887478476,Entire range,38804.37,NT,Herbivore,63650.0,1418356.35073576
211,Lonchophylla dekeyseri,28619.1791107618,0.020964961911656997,Entire range,14.12333333,EN,Omnivore,599.999999999999,28619.1791107618
212,Lonchorhina fernandezi,105607.866961094,0.001420348732687,Entire range,14.03,EN,Insectivore,150.0,105607.866961094
214,Loxodonta africana,2110665.18498986,0.17194955769441198,Entire range,3824540.0,VU,Herbivore,362927.945000001,2110665.18498986
215,Lycalopex fulvipes,11426.028642053601,0.042797022072939,Entire range,3085.0,EN,NotAssigned,488.999999999998,11426.028642053601
216,Lycaon pictus,1272642.74600664,0.001107144958333,Entire range,21999.99,EN,Carnivore,1409.0,1272642.74600664
217,Lynx pardinus,1191.69167401818,0.130906343814584,Entire range,11050.0,EN,Carnivore,156.000000000001,1191.69167401818
218,Lynx rufus,9879514.31154415,0.237359846451144,Entire range,6374.47,LC,Carnivore,2345000.0,9879514.31154415
219,Macaca cyclopis,24554.5589881443,0.272861752607122,Entire range,5748.94,LC,Omnivore,6700.00000000001,24554.5589881443
220,Macaca maura,4790.63200959432,0.5218518130787729,Entire range,7290.3,EN,Omnivore,2500.0,4790.63200959432
222,Macaca pagensis,2140.85262336304,0.872365618024134,Entire range,4534.66,CR,Herbivore,1867.60622187869,2140.85262336304
223,Macaca siberu,3863.62765014846,3.9161978558857995,Entire range,7500.0,VU,Herbivore,15130.7303194525,3863.62765014846
225,Macaca sylvanus,41517.4432911962,0.242066929061865,Entire range,11471.53,EN,Herbivore,10050.0,41517.4432911962
226,Macroderma gigas,1078953.52974692,0.007356437246241,Entire range,124.37,VU,Carnivore,7937.25393319375,1078953.52974692
227,Macrogalidia musschenbroekii,34097.051975686096,0.263952438070532,Entire range,5148.86,VU,Omnivore,9000.0,34097.051975686096
228,Macropus eugenii,14879.4054664262,1.5027939002974497,Entire range,5278.48,LC,Herbivore,22360.6797749978,14879.4054664262
229,Macropus fuliginosus,1607057.79460639,2.0845547753436597,Entire range,25564.7,LC,Herbivore,3350000.0,1607057.79460639
230,Macropus giganteus,2231134.33205196,6.606504946048549,Entire range,33409.89,LC,Herbivore,14740000.0,2231134.33205196
231,Macropus irma,152879.44996836,0.146263476089335,Entire range,8000.0,LC,Herbivore,22360.6797749979,152879.44996836
233,Macropus robustus,6349650.73611072,0.474829266254531,Entire range,25978.92,LC,Herbivore,3015000.0,6349650.73611072
234,Macropus rufus,5360863.41812077,1.49975841071109,Entire range,38968.39,LC,Herbivore,8040000.00000003,5360863.41812077
235,Macrotis lagotis,1077479.5480748,0.008352826757669001,Entire range,1229.58,VU,Herbivore,9000.00000000002,1077479.5480748
236,Madoqua guentheri,1270987.09731536,0.269373308921209,Entire range,4623.7,LC,Herbivore,342370.000000001,1270987.09731536
237,Madoqua kirkii,1336496.83794007,0.486772569550346,Entire range,4833.4,LC,Herbivore,650570.0,1336496.83794007
238,Madoqua piacentinii,56979.3484691146,0.35275938633968607,Entire range,2500.0,DD,Herbivore,20100.0,56979.3484691146
239,Madoqua saltiana,1098767.26978426,0.296106381166488,Entire range,3424.47,LC,Herbivore,325351.999999999,1098767.26978426
240,Marmota caudata,547910.242500489,0.733696815313033,Entire range,4350.0,LC,Herbivore,402000.000000001,547910.242500489
241,Marmota menzbieri,2790.4272202778698,5.282345259853139,Entire range,3250.0,VU,Herbivore,14740.0,2790.4272202778698
242,Marmota olympus,5368.55661787667,0.526850571963395,Entire range,6299.99,LC,Herbivore,2828.4271247461897,5368.55661787667
243,Marmota vancouverensis,2075.0212114884603,0.043373050599054004,Entire range,5232.43,CR,Herbivore,89.9999999999997,2075.0212114884603
244,Martes gwatkinsii,30613.0263082874,0.032665832836308,Entire range,2038.49,VU,Omnivore,1000.0,30613.0263082874
245,Mastacomys fuscus,62933.0661913331,0.7106178398178,Entire range,125.72,NT,Herbivore,44721.3595499958,62933.0661913331
246,Mazama bororo,19498.6330790573,0.4359279938002171,Entire range,18335.81714,VU,Herbivore,8500.0,19498.6330790573
247,Mesembriomys gouldii,237211.17576096102,0.126469589401771,Entire range,716.49,VU,Omnivore,30000.0000000001,237211.17576096102
249,Mesocapromys auritus,83.0126827169791,10.7205765351016,Entire range,1533.200179,EN,Omnivore,889.9438184514801,83.0126827169791
250,Microcebus berthae,546.444861883062,14.640086416828598,Entire range,33.45,EN,Omnivore,8000.0,546.444861883062
252,Microtus abbreviatus,329.121431231776,947.691703157035,Entire range,66.06,LC,Herbivore,311905.649709523,329.121431231776
253,Microtus breweri,1.8949269040644199,1936.61355876758,Entire range,54.0,VU,Herbivore,3669.7411352846293,1.8949269040644199
254,Microtus tatricus,18330.8933405179,8.17289979868779,Entire range,40.0,LC,Herbivore,149816.554492486,18330.8933405179
256,Mirza zaza,9803.193030656079,3.69869396997658,Entire range,326.5,EN,Insectivore,36259.0109490041,9803.193030656079
259,Muntiacus crinifrons,113889.54085435199,0.045378427633584996,Entire range,18590.01,VU,Herbivore,5168.1282878814,113889.54085435199
261,Mustela felipei,57459.898351403,0.023494646505357996,Entire range,211.3,VU,Carnivore,1350.0,57459.898351403
263,Myotis grisescens,853015.9254726259,1.57089681444992,Entire range,10.84,NT,Insectivore,1340000.0,853015.9254726259
265,Myotis planiceps,12295.1770420058,0.019519849057891003,Entire range,9.597169811,EN,Insectivore,240.0,12295.1770420058
267,Myrmecobius fasciatus,1128.01036910752,0.709213338732836,Entire range,511.44,EN,Insectivore,800.0000000000031,1128.01036910752
269,Myzopoda aurita,107290.249959933,1.0741406419405801,Entire range,9.1,LC,Insectivore,115244.81796592801,107290.249959933
270,Myzopoda schliemanni,36338.985637803904,2.50305081910283,Entire range,9.1,LC,Insectivore,90958.327766071,36338.985637803904
272,Nanger dama,204791.99336774898,0.0006905609634030001,Entire range,71424.81,CR,Herbivore,141.421356237309,204791.99336774898
274,Nanger soemmerringii,290635.22042267,0.015387453552587,Entire range,41582.93,VU,Herbivore,4472.1359549995705,290635.22042267
