binomial,estimated_pop,AdultBodyMassG,estimated_mass_Mt,pop_density,Range,estimated_mass_g
Akodon affinis,311933.081788234,24.89,6.75469253296697E-06,7.39229699881807,42197.0440092043,6754692.53296697
Akodon albiventer,3334167.97252908,25.95,7.52738432318029E-05,8.29293758068749,402049.085753842,75273843.2318029
Akodon azarae,23877243.0872386,25.27,0.000524938801549,19.4500910826099,1227616.00374134,524938801.549
Akodon boliviensis,1995093.10493505,27.5,4.77326025355711E-05,9.17147039496504,217532.524122884,47732602.5355711
Akodon budini,96518.5910230626,26.9,2.25882458571273E-06,4.85591707788378,19876.4907791889,2258824.58571273
Akodon cursor,14756995.2553067,39.84,0.000511489261145,17.9058220212846,824145.08743386,511489261.145
Akodon dayi,2809788.89755842,32.49,7.94223359150556E-05,9.71130897330668,289331.634415262,79422335.9150556
Akodon dolores,9670793.27188615,50.49,0.000424802166499,11.945347236329,809586.618166668,424802166.499
Akodon fumeus,1247013.3613183,22.69,2.46164178564317E-05,8.25387660542508,151082.142480622,24616417.8564317
Akodon iniscatus,9040526.95503477,28.7,0.00022573291754,15.7657566198991,573428.042370265,225732917.54
Akodon juninensis,1017457.91014294,38.99,3.45134950073316E-05,8.81266184777033,115454.096357999,34513495.0073316
Akodon kofordi,139445.420899962,29.49,3.57765355223569E-06,10.2450577787735,13610.9940920856,3577653.55223569
Akodon lindberghi,1450932.02172885,26.4,3.33250066750682E-05,212.630227282189,6823.73357859071,33325006.6750682
Akodon lutescens,1119072.64593992,20.69,2.01436433487124E-05,9.43539484028447,118603.690135153,20143643.3487124
Akodon mimus,549587.45463565,23.99,1.1470604641937E-05,9.56814704464753,57439.2776439501,11470604.641937
Akodon molinae,6053236.58941969,32.99,0.000173735759324,14.1037475279813,429193.487575575,173735759.324
Akodon mollis,3010882.30231428,30.39,7.9605620455578E-05,11.346756376512,265351.806490431,79605620.455578
Akodon montensis,16129029.6870443,34.65,0.000486217664431,15.3549940900018,1050409.3712121,486217664.431
Akodon mystax,77766.2321798513,32.51675676,2.1999739206625E-06,165.261608518084,470.564415275806,2199973.9206625
Akodon orophilus,290291.225068974,38.99,9.84705573293219E-06,8.56758038186267,33882.5213339711,9847055.73293219
Akodon paranaensis,11811288.2129982,32.51675676,0.000334136363685,24.4707846742183,482668.960977056,334136363.685
Akodon pervalens,319579.626099633,32.51675676,9.04077288158015E-06,10.9836834212845,29095.8518961263,9040772.88158015
Akodon philipmyersi,89558.9136581865,23,1.79207386230031E-06,42.3717823025864,2113.64518534118,1792073.86230031
Akodon reigi,1353907.62704186,32.51675676,3.83014759361053E-05,20.5548393882785,65868.0713318508,38301475.9361053
Akodon sanctipaulensis,472196.988590265,27.1,1.11329883999927E-05,622.789592052605,758.196660021224,11132988.3999927
Akodon serrensis,4388051.5097238,28.3,0.000108038216221,15.9061357214746,275871.625048412,108038216.221
Akodon siberiae,111698.441293652,34.6,3.36234647982151E-06,4.42301678754572,25253.9039888276,3362346.47982151
Akodon simulator,1226867.07486394,42.5,4.53634100930941E-05,7.82397887059394,156808.587440728,45363410.0930941
Akodon spegazzinii,2082948.5263843,28.6,5.18279252334943E-05,36.7183581027273,56727.7142555455,51827925.2334943
Akodon subfuscus,1503098.19077881,30.39,3.97408639954581E-05,8.78528110044454,171092.782757145,39740863.9954581
Akodon surdus,77761.4993624431,38.99,2.63777114832324E-06,4.73156112353661,16434.6390825699,2637771.14832324
Akodon sylvanus,266082.491204821,38.99,9.02586400890608E-06,6.76754664531454,39317.4225683455,9025864.00890608
Akodon toba,3717331.37827897,51.2,0.000165584808914,8.37782896045601,443710.583711491,165584808.914
Akodon torques,530144.580866427,38.99,1.79831933709443E-05,7.95317126586285,66658.2628670339,17983193.3709443
Akodon varius,1914314.59888486,40,6.66181480411932E-05,7.82502732370663,244639.989062437,66618148.0411932
Alcelaphus buselaphus,362000,160937.9,0.045442425444,0.053555189944296,6759382.24430768,45442425444
Alces alces,2100000,461900.8,0.7565935104,0.090923750929564,23096275.4894132,756593510400
Alionycteris paucidentata,73419.7076386195,16.24,1.03733236528453E-06,14.5019106792418,5062.76098802025,1037332.36528453
Allactaga balikunica,1236354.15814439,72.5,7.79830385249576E-05,5.26481251625971,234833.463551849,77983038.5249576
Allactaga bullata,9705239.81050774,72.5,0.000612158001048,6.20924686477606,1563030.11007081,612158001.048
Allactaga elater,34223446.0453118,59,0.001756689485506,10.5432055257216,3246019.05576239,1756689485.506
Allactaga euphratica,3367927.03635179,232,0.000679782393017,4.5865261942832,734308.906934771,679782393.017
Allactaga firouzi,7796.65865705988,114.1964539,7.74605170687328E-07,5.9236751872487,1316.18605183535,774605.170687328
Allactaga hotsoni,2619513.36906197,76.5,0.000174341712278,5.26645085923294,497396.337510591,174341712.278
Allactaga major,32091901.6527012,350,0.009771984053248,7.46783619456949,4297349.43517347,9771984053.248
Allactaga severtzovi,4951893.472569,159,0.00068499542406,7.00982101323785,706422.241483411,684995424.06
Allactaga sibirica,43271558.6921917,97.5,0.003670509966065,7.99428622106672,5412810.78705457,3670509966.065
Allactaga tetradactyla,1502492.65818071,52,6.79727678560953E-05,14.5221407107145,103462.202171899,67972767.8560953
Allactaga vinogradovi,404429.684212376,61.83099239,2.17554711923382E-05,7.52668226889996,53732.7961728194,21755471.1923382
Allactaga williamsi,9137969.73894418,23.33,0.000185474285588,12.9487513472005,705702.773489414,185474285.588
Allactodipus bobrinskii,3380795.39864838,65,0.000191183979794,12.2556161307388,275856.828623153,191183979.794
Allenopithecus nigroviridis,501153.037921627,4749.96,0.002247007515639,0.98974712417191,506344.525467479,2247007515.639
Allocebus trichotis,401694.438190402,78.09,2.83005006813867E-05,9.37636766499273,42841.1568895867,28300500.6813867
Allocricetulus curtatus,9494234.86557965,47.833,0.000395099830603,7.12619909039947,1332299.97438192,395099830.603
Allocricetulus eversmanni,17756447.8617074,115.558,0.001785152653743,9.99379512028795,1776747.23645883,1785152653.743
Alouatta arctoidea,770721.530710519,6361.288889,0.004553531786879,1.89582499409314,406536.222020425,4553531786.879
Alouatta belzebul,568805.253475702,6157.91,0.003171233273019,0.656286145654183,866703.125217917,3171233273.019
Alouatta caraya,4085290.78926326,5576.96,0.021027361835529,1.3332277228305,3064210.80158009,21027361835.529
Alouatta discolor,254832.27494289,6361.288889,0.001473485827665,0.678213003151312,375740.768399918,1473485827.665
Alouatta macconnelli,2775056.60339229,7250,0.018601362022051,1.57386125667317,1763215.52590869,18601362022.051
Alouatta nigerrima,419867.72966563,6320,0.00248454789109,1.77822460606053,236116.252263432,2484547891.09
Alouatta palliata,1607504.99619163,6576.99,0.009693741731807,2.8331343941335,567394.543485214,9693741731.807
Alouatta pigra,280127.183434454,7172.06,0.001816244725869,1.16725054751822,239988.90729163,1816244725.869
Alouatta sara,592699.577708382,6611.04,0.00365841485465,1.73607354411889,341402.344224534,3658414854.65
Alticola albicaudus,614668.2915449,42.21130602,2.25729776790174E-05,7.66815869863289,80158.5251038799,22572977.6790174
Alticola argentatus,13702261.4340257,37.69,0.0004493012631,9.92858897028111,1380081.44712609,449301263.1
Alticola barakshin,1466466.59999236,46.25861204,5.9017937281238E-05,6.488869342744,225997.245827148,59017937.281238
Alticola macrotis,4993662.79345699,36,0.000156401518691,13.1681493840716,379222.823785506,156401518.691
Alticola montosa,76254.9732999836,46.25861204,3.06888082662391E-06,3.90371831426334,19533.9333325779,3068880.82662391
Alticola olchonensis,38113.6577331774,42.21130602,1.39967972500152E-06,28.2665108951158,1348.36796358064,1399679.72500152
Alticola roylei,336434.959689717,37,1.0829841352412E-05,8.75325458759543,38435.4135165327,10829841.352412
Alticola semicanus,5084230.29844273,46.25861204,0.000204614810101,7.5746803573567,671213.841189326,204614810.101
Alticola stoliczkanus,18967492.6646804,30.14,0.000497361799155,8.22398022297105,2306364.09018844,497361799.155
Alticola strelzowi,5027231.55348151,49.99,0.000218640835662,11.392247119638,441285.332093572,218640835.662
Alticola tuvinicus,1454022.84213643,46.25861204,5.8517138339968E-05,10.8072679172932,134541.204425013,58517138.339968
Amblysomus corriae,1031963.99621119,44.845,4.02622301067789E-05,20.3813174851302,50632.8404414526,40262230.1067789
Amblysomus hottentotus,4067362.39595854,62.6,0.000221516690809,19.1420450944718,212483.168641849,221516690.809
Amblysomus marleyi,13317.8352029071,36.245,4.19953295128548E-07,9.49454553780358,1402.68274557014,419953.295128548
Amblysomus robustus,13362.355235878,79.5,9.24207299889499E-07,7.70187856644962,1734.94753527874,924207.299889499
Ametrida centurio,78133639.3347903,10.61,0.000721228184608,13.5496501766452,5766469.12032201,721228184.608
Ammodillus imbellis,1973073.35067518,49.99,8.58115250162193E-05,9.3850569856439,210235.628157969,85811525.0162193
Ammodorcas clarkei,4200,28049.81,9.16293793333333E-05,0.050169106598597,83716.8585361551,91629379.3333333
Ammospermophilus harrisii,2420489.44652093,126.57,0.000266534373844,8.98179423628433,269488.409870571,266534373.844
Ammospermophilus interpres,2203441.11151071,112.53,0.000215719308602,7.05215753861111,312449.218476289,215719308.602
Ammospermophilus leucurus,10250105.588515,103.92,0.0009267161463,10.3448046112469,990845.740805101,926716146.3
Ammotragus lervia,10606.6017177982,94202.22,0.00077712866659,0.007485420708356,1416968.01436395,777128666.59
Amorphochilus schnablii,6450801.94350713,3.3,1.8520252379809E-05,36.1575141234022,178408.336410826,18520252.379809
Amphinectomys savamis,62302.0231755561,214,1.1599390674825E-05,62.8542538193346,991.214108668511,11599390.674825
Anathana ellioti,10371579.4071746,160,0.001443723853479,7.5922539654645,1366073.82397278,1443723853.479
Andalgalomys olrogi,386988.140927439,32.9,1.10767615577661E-05,6.77560334715313,57114.9344345899,11076761.5577661
Andalgalomys pearsoni,1344341.71073235,25.4,2.97072631237635E-05,9.67095716405591,139008.134140938,29707263.1237635
Andinomys edax,1282646.82557634,69.75,7.78342159930365E-05,5.61055598930444,228613.140662261,77834215.9930365
Anisomys imitator,1257572.95207627,510.5,0.00055853216307,6.92180719537692,181682.747955794,558532163.07
Anomalurus beecrofti,16804239.4347765,479.07,0.007003854077836,5.17813590006974,3245229.510981,7003854077.836
Anomalurus derbianus,26342313.5632267,665.84,0.015259596474757,4.57910025104279,5752726.98107622,15259596474.757
Anomalurus pelii,1014646.70496487,1769.99,0.001562445633549,4.17768413015852,242873.006515783,1562445633.549
Anomalurus pusillus,3245251.88645804,250,0.000705842285305,5.66223336896699,573139.903460054,705842285.305
Anonymomys mindorensis,3757.79685806948,141.0605074,4.61166756409703E-07,6.32379616077734,594.231180533112,461166.756409703
Anotomys leander,128207.517734641,66.39,7.40517647909045E-06,10.249858921661,12508.2226706263,7405176.47909045
Anoura caudifer,89522410.2074832,10.81,0.000841931411278,15.0697772436642,5940526.44309135,841931411.278
Anoura cultrata,11205385.2443214,17.39,0.000169529634977,14.7925869521796,757500.042456767,169529634.977
Anoura fistulata,1070310.98224669,14.6025,1.35974180228838E-05,49.126807953482,21786.6990922789,13597418.0228838
Anoura geoffroyi,133982323.931153,15.15,0.001765954020575,16.3304846544337,8204430.35012912,1765954020.575
Anoura latidens,9175919.78951439,15.06,0.000120224736266,12.9230136405143,710044.889277794,120224736.266
Anoura luismanueli,1069474.30712769,14.6025,1.35867887557539E-05,12.6475663021091,84559.6916894077,13586788.7557539
Anourosorex assamensis,253217.066164765,20,4.40597695126691E-06,14.3840092471054,17604.0672537611,4405976.95126691
Anourosorex schmidi,106219.120837789,16.05244685,1.48341680878103E-06,13.445035862237,7900.24823482442,1483416.80878103
Anourosorex squamipes,14166014.5932391,20,0.000246488653922,11.9140379825109,1189018.75367813,246488653.922
Anourosorex yamashinai,1350101.15445576,8.157340556,9.58151436469165E-06,39.5263117067412,34157.0234144944,9581514.36469165
Antechinomys laniger,67082.0393249937,25.57,1.33411269097562E-06,0.027510581829913,2438408.59999749,1334112.69097562
Antechinus adustus,31188.7703582156,30.5,8.73174759996142E-07,6.33883236229519,4920.27057597129,873174.759996142
Antechinus agilis,221385.888867466,22.13,4.44192915019195E-06,1.35275998822837,163654.965251746,4441929.15019195
Antechinus bellus,37723.002890488,38.73,1.13634259040447E-06,1.83318629891731,20577.8337492308,1136342.59040447
Antechinus flavipes,739267.465868611,44.33,2.96824097850714E-05,0.732794407772837,1008833.38904762,29682409.7850714
Antechinus godmani,11623.4532056812,75.74,8.43455545123487E-07,3.22916611350474,3599.52160933145,843455.545123487
Antechinus leo,69542.3158790769,70.09,4.42857593784639E-06,15.8294598480989,4393.22102879139,4428575.93784639
Antechinus minimus,123362.870493353,52.56,5.90146994273037E-06,1.61732840985694,76275.7085954267,5901469.94273037
Antechinus stuartii,186425.674493802,29.01,4.90533272044784E-06,1.57538145440382,118336.847226853,4905332.72044784
Antechinus subtropicus,160957.993538322,46.86444444,6.81765239890828E-06,16.7349889288715,9618.05198810944,6817652.39890828
Antechinus swainsonii,390537.817933456,58.69,2.07569969446483E-05,1.24263095609092,314283.026685584,20756996.9446483
Anthops ornatus,1171628.65881826,19.66146341,2.00412625847524E-05,55.0193384072673,21294.8518236545,20041262.5847524
Antidorcas marsupialis,2236067.97749979,33571.24,0.060054059783168,1.14669396778385,1950012.8546253,60054059783.168
Antilocapra americana,1000000,47450.01,0.039541675,0.498073302340331,2007736.6028278,39541675000
Antilope cervicapra,52500,36301.1,0.001482294916667,0.029930718066676,1754050.80102145,1482294916.667
Antrozous pallidus,63214733.3543068,22.24,0.001223129232726,14.4735689681304,4367598.17108691,1223129232.726
Aonyx capensis,5338777.19614728,19322.22,0.093089784333091,0.451785145053852,11817071.1334719,93089784333.091
Aonyx congicus,1536572.00778239,23800.2,0.033052732484337,0.525426174489064,2924429.88641855,33052732484.337
Aotus azarae,4474753.72659545,929.57,0.003777264916882,1.4147577739584,3162911.56617956,3777264916.882
Aotus brumbacki,176475.936232058,800,0.000127981506123,1.42360017234041,123964.536996318,127981506.123
Aotus griseimembra,394153.672088811,966,0.00034389969737,1.68378805778095,234087.461463686,343899697.37
Aotus jorgehernandezi,15926.5941761768,889.745,1.34920070456767E-05,13.4261160528319,1186.23987112173,13492007.0456767
Aotus lemurinus,283561.831933481,865.96,0.00022202233605,1.6003121249802,177191.578759668,222022336.05
Aotus miconax,64231.3829836515,800,4.72255354188759E-05,1.080003815556,59473.2926481231,47225535.4188759
Aotus nancymaae,613500.833210808,791.03,0.000437984988615,1.24511083260428,492727.889875963,437984988.615
Aotus nigriceps,2359019.48283672,1057,0.002267804441666,1.52322678586823,1548698.7917509,2267804441.666
Aotus trivirgatus,1225707.30072662,912.4,0.00101817652841,1.62983304635291,752044.697749503,1018176528.41
Aotus vociferans,1984158.95720604,872.99,0.001571792037895,1.95099726089035,1016997.30541936,1571792037.895
Aotus zonalis,788409.324728308,902.5,0.000644716079362,5.09664547914094,154691.812086015,644716079.362
Aplodontia rufa,100000,806.21,6.288438E-05,0.407378654018777,245471.869999823,62884380
Apodemus agrarius,188671332.189402,21.11,0.003465081085591,16.3617064345032,11531274.7447623,3465081085.591
Apodemus alpicola,1411040.66126462,28.055,3.44404688040476E-05,12.7322481964411,110824.15607159,34440468.8040476
Apodemus argenteus,16049140.4510558,15,0.000209441282886,43.7869335435227,366528.074753249,209441282.886
Apodemus chevrieri,7138171.9750018,32.9,0.00020431589644,9.90860077271195,720401.612572801,204315896.44
Apodemus draco,21517658.7533819,22.25,0.000416528079319,11.963784557521,1798566.2187351,416528079.319
Apodemus epimelas,2807875.38449449,63.85388804,0.000155985571576,16.1272431382034,174107.586797832,155985571.576
Apodemus flavicollis,106844955.505504,31.6,0.002937381516757,17.6116453939953,6066721.93967364,2937381516.757
Apodemus gurkha,77013.2409751789,39.9,2.67336063397138E-06,6.06066578799031,12707.059532599,2673360.63397138
Apodemus hyrcanicus,1047037.71342956,63.85388804,5.81659631664802E-05,21.5605787015291,48562.597874764,58165963.1664802
Apodemus latronum,5168948.96587297,35.2,0.000158293893131,9.62758296590263,536889.579054212,158293893.131
Apodemus mystacinus,11736957.6536271,43.84,0.000447656954475,14.5914227828228,804373.763156529,447656954.475
Apodemus pallipes,6504753.41114224,63.85388804,0.000361357802557,8.30397229999351,783330.335910119,361357802.557
Apodemus peninsulae,112129452.930345,32.9,0.003209481331225,12.5920627422508,8904772.41303056,3209481331.225
Apodemus ponticus,6767873.33499422,26.7,0.000157210929699,19.4685782779309,347630.589063924,157210929.699
Apodemus rusiges,1282513.92314943,21.5,2.39894229325102E-05,11.3743386576545,112755.032336439,23989422.9325102
Apodemus semotus,1057348.06318256,25.77,2.37056378417468E-05,31.1765083940905,33914.8967490851,23705637.8417468
Apodemus speciosus,12966744.1977541,43.75,0.000493546701027,35.1647317893138,368742.872132316,493546701.027
Apodemus sylvaticus,104597141.065743,21.9,0.001992889328726,20.9105309265732,5002127.46548776,1992889328.726
Apodemus uralensis,121039568.928534,18.26,0.001922858799912,16.7042392400297,7246038.99580633,1922858799.912
Apodemus witherbyi,30268817.0679267,20.66,0.000544057771742,19.1456404417371,1580976.99369415,544057771.742
Apomys camiguinensis,4407.14158669543,32.69125,1.2534522163457E-07,59.7857898341964,73.7155367340254,125345.22163457
Apomys gracilirostris,5409.69231056753,32.69125,1.53859155260621E-07,9.46842491868867,571.340255324826,153859.155260621
Apomys hylocetes,58223.2724367463,34.88,1.76682013605653E-06,13.2346870367971,4399.29348346999,1766820.13605653
Apomys insignis,3630618.01488742,34.88,0.000110173282033,38.2332377254553,94959.7321827179,110173282.033
Apomys littoralis,500049.705854213,30.95,1.34645884046835E-05,63.3073868983023,7898.75763878074,13464588.4046835
Apomys microdon,2471025.70889899,34.98,7.51997369886393E-05,39.8833042902394,61956.3938563566,75199736.9886393
Apomys musculus,1496486.77489779,21.2,2.76012020762148E-05,31.3242720387522,47774.0320045248,27601202.0762148
Apomys sacobianus,8708.82564521477,34.88,2.64274539499429E-07,9.1529538668277,951.477061058665,264274.539499429
Aproteles bulmerae,222.081066279861,623.91,1.07767798493186E-07,4.61176525767811,48.1553274876945,107767.798493186
Arborimus albipes,1478384.12909619,23,2.95824664232148E-05,19.0137630728097,77753.3686222442,29582466.4232148
Archboldomys luzonensis,252.449508884783,35.34,7.76176211026975E-09,11.365815113616,22.211298209695,7761.76211026975
Arctictis binturong,1769205.66261642,12999.99,0.020725204919303,0.601178195896486,2942897.25524419,20725204919.303
Arctocebus aureus,1554597.38487423,234.16,0.000329182599438,2.32904224139034,667483.5506402,329182599.438
Arctocebus calabarensis,488488.674629281,258.01,0.000114281548991,3.29086033022208,148437.984481801,114281548.991
Arctogalidia trivirgata,5271471.29255169,2323.79,0.011075239328134,2.07562436543263,2539703.89842333,11075239328.134
Arctonyx collaris,679769.072750653,8166.52,0.0050045409577,0.494995299433568,1373283.89487441,5004540957.7
Arielulus aureocollaris,32984.2105248859,10.4,2.98441136829168E-07,13.1767551573951,2503.21191605161,298441.136829168
Arielulus circumdatus,3084810.24525818,10.4,2.7911363099096E-05,18.1213299893448,170230.896246138,27911363.099096
Arielulus cuprosus,223103.620484782,10.4,2.01864155814631E-06,84.8301146129215,2630.00493990607,2018641.55814631
Arielulus societatis,191118.948144268,10.4,1.72924424280934E-06,15.5659041761668,12278.0498955463,1729244.24280934
Arielulus torquatus,977140.999329634,10.4,8.84117176193453E-06,27.2165066254129,35902.5136024344,8841171.76193453
Artibeus amplus,16956075.899423,61.04,0.000900449019424,10.3278417100422,1641783.09229273,900449019.424
Artibeus concolor,73385798.5095824,19.65,0.001254566918421,11.3993262079533,6437731.24576267,1254566918.421
Artibeus fimbriatus,22256534.9270324,63.89,0.001237113914345,15.0338247298796,1480430.65067785,1237113914.345
Artibeus fraterculus,4761707.02517356,29.86285714,0.000123712413673,15.7635499278449,302070.729434012,123712413.673
Artibeus hirsutus,4306997.33294647,40.42,0.000151457284012,18.8234195484475,228810.568763086,151457284.012
Artibeus inopinatus,904681.745062354,29.86285714,2.35042520876678E-05,21.9924890179121,41135.9416537857,23504252.0876678
Artibeus jamaicensis,37291009.7684977,43.63,0.001415495877894,23.9060829645389,1559896.27509506,1415495877.894
Artibeus lituratus,152386612.553624,59.3,0.007861777728254,10.7043499221572,14235952.0813305,7861777728.254
Artibeus obscurus,120389862.687612,35.91,0.003761183973128,10.8235485849404,11122956.7403725,3761183973.128
Artibeus planirostris,92417987.669575,29.86285714,0.00240108269176,11.6881477301936,7906983.19382417,2401082691.76
